platform,keyword,category,itemId,title,price,priceText,originalPrice,priceBand,salesText,shopName,shopId,productUrl,imageUrl,location,stock,giftSignal,captureMethod,captureStatus,capturedAt
天猫,开学礼物 学生,文具手账,1041415968077,开学小礼品卡通动物造型圆珠笔套装生日礼物可爱学生六一实用文具,7.5,7.5,7.5,<10元,1000+,晨晨文具礼品店,1127167463,https://detail.tmall.com/item.htm?id=1041415968077,https://g.search.alicdn.com/img/bao/uploaded/i4/i1/1127167463/O1CN01EISrud2506yHHyYNO_!!1127167463.jpg,浙江 金华,425000,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
天猫,开学礼物 学生,IP潮玩/玩具,843511439602,小学生奖励小礼品幼儿园礼物开学实用奖品儿童生日盲盒玩具批发,6.6,6.6,13.6,<10元,1000+,未闻花名儿童伴手礼,2066274162,https://detail.tmall.com/item.htm?id=843511439602,https://g.search1.alicdn.com/img/bao/uploaded/i4/i4/2066274162/O1CN01hcI4L61gcFQTM4l9t_!!2066274162.jpg,浙江 金华,22829,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
天猫,开学礼物 学生,其他礼物/综合,1022563463274,幼儿园开学小礼物指尖陀螺变形机器人儿童男孩玩具学生奖励小礼品,9.8,9.8,9.8,<10元,1000+,义乌小商品百货礼品批发,2213256315535,https://detail.tmall.com/item.htm?id=1022563463274,https://g.search2.alicdn.com/img/bao/uploaded/i4/i1/2213256315535/O1CN01Hj1Ruo1ql5LeHMDTy_!!2213256315535.jpg,浙江 金华,4440,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
天猫,开学礼物 学生,饰品配件,1025313517833,开学小礼物创意可爱钥匙扣挂件儿童幼儿园生日班级学生奖励小礼品,8.0,8.0,13.8,<10元,1000+,文文严选小礼品批发,2214487583,https://detail.tmall.com/item.htm?id=1025313517833,https://g.search3.alicdn.com/img/bao/uploaded/i4/i1/2214487583/O1CN01zD2kpe25t4UVuiGfd_!!2214487583.jpg,浙江 金华,4440,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
天猫,开学礼物 学生,其他礼物/综合,810665721169,幼儿园全班小朋友分享生日伴手礼物儿童节学生开学益智玩具奖励品,11.6,11.6,15.0,10-29元,1000+,童梦风车玩具批发,3011935979,https://detail.tmall.com/item.htm?id=810665721169,https://g.search.alicdn.com/img/bao/uploaded/i4/i3/3011935979/O1CN01NbmwSI1u2RBxw1Vne_!!3011935979.jpg,浙江 金华,17733,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
天猫,开学礼物 学生,文具手账,778115109968,开学礼物励志文具实用奖品初中生高考学生期末老师课堂奖励小礼品,6.6,6.6,6.6,<10元,1000+,博得文具礼品营销店,1624179229,https://detail.tmall.com/item.htm?id=778115109968,https://g.search1.alicdn.com/img/bao/uploaded/i4/i2/1624179229/O1CN01sqKeZj2I2wES0oDJB_!!1624179229.png,浙江 金华,717347,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
天猫,开学礼物 学生,文具手账,737596570287,学生奖励开学文具小礼物实用激励礼品送全班励志盲盒毕业小奖品批,13.4,13.4,15.4,10-29元,1000+,月光童话礼品批发,2484962702,https://detail.tmall.com/item.htm?id=737596570287,https://g.search2.alicdn.com/img/bao/uploaded/i4/i1/2484962702/O1CN01si2YRC1VpZ33Encdo_!!2484962702.jpg,浙江 金华,22521,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
天猫,开学礼物 学生,其他礼物/综合,1005082694577,变形指尖陀螺解压玩具幼儿园开学儿童节生日伴手礼物小学生奖品,9.8,9.8,9.8,<10元,1000+,晨晨文具礼品店,1127167463,https://detail.tmall.com/item.htm?id=1005082694577,https://g.search3.alicdn.com/img/bao/uploaded/i4/i3/1127167463/O1CN01t1RhCc2506x3pwzxv_!!1127167463.jpg,浙江 金华,425000,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
天猫,开学礼物 学生,其他礼物/综合,919992573477,儿童节小礼物全班送幼儿小朋友生日小玩具礼品小学生开学奖励奖品,8.8,8.8,8.8,<10元,1000+,千奇百货文具礼品店,3394979992,https://detail.tmall.com/item.htm?id=919992573477,https://g.search.alicdn.com/img/bao/uploaded/i4/i1/3394979992/O1CN01zuF9a62NgOXgayQxY_!!3394979992.jpg,浙江 金华,957954,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
天猫,开学礼物 学生,其他礼物/综合,1006024204315,小学生奖励小礼品创意玩具奖品幼儿园儿童一二三年级开学全班礼物,9.9,9.9,9.9,<10元,1000+,韩之炫文具百货礼品批发店,2212116107,https://detail.tmall.com/item.htm?id=1006024204315,https://g.search1.alicdn.com/img/bao/uploaded/i4/i1/2212116107/O1CN01kkCVty1uz3szwHO34_!!2212116107.jpg,浙江 金华,6699933,礼物/礼盒/伴手礼/定制/纪念,JustOneAPI search-item-list/v1,ok,2026-06-12
