sampleId,sourcePlatform,keyword,title,audience,scenario,categories,motives,likedCount,collectedCount,commentCount,sharedCount,engagementScore,hasDetail,descExcerpt,commentNeedSignals,suspectedCommercial,capturedAt
xhs_fc72cfd269,小红书,开学礼物 学生,📚研二学姐的开学好物分享🎒,泛学生/同学,开学/返校,其他礼物/综合,未显式,450,139,19,12,686,no,,,unknown,2026-06-12
xhs_e5ae010ddc,小红书,开学礼物 学生,全班都抢着要的高颜值奖品，低成本搞定！,边缘低龄/教师奖励,开学/返校,文具手账|饰品配件|IP潮玩/玩具|服饰鞋包,平价性价比|实用刚需|仪式感/情绪价值|颜值/可爱,934,618,1,175,2001,yes,班级奖品天花板来了！ 平价｜实用｜高颜值｜学生超爱 课堂小奖励、期末表彰都适配 几块钱就能拥有的快乐 孩子学习动力直接拉满💯 老师/班委闭眼抄作业！ ✅街景积木：男孩女孩都能玩，不挑人，当集体奖品、进步奖、优秀奖都合适。 ✅搞怪笔筒：可爱、沙雕、搞怪造型，学生看到就想要，比普通文具吸睛太多。 ✅变色烤鸭：遇阳光/紫外线就变“烤鸭色”，室内变回小白鸭，学生觉得超神奇。 ✅包子捏捏乐：白白胖胖超萌，软乎乎超回弹，捏下去像真包子，学习累了捏一,@C桶,yes,2026-06-12
xhs_05a6826df0,小红书,开学礼物 学生,小预算人均3.98r搞定新生开学礼物‼️,泛学生/同学,开学/返校,其他礼物/综合,平价性价比,178,106,4,66,422,no,,,unknown,2026-06-12
xhs_17fc89be7f,小红书,开学礼物 学生,,泛学生/同学,开学/返校,其他礼物/综合,未显式,72,25,1,5,113,no,,,unknown,2026-06-12
xhs_8635adebfb,小红书,开学礼物 学生,男孩送礼就选它！智能又暖心,边缘低龄/教师奖励,开学/返校,文具手账|IP潮玩/玩具,实用刚需|颜值/可爱,768,386,30,81,1450,yes,生活在十八线城市真的太难了 给孩子体验的项目太少 玩乐的地方更少😮‍💨 在家看电视📺出门又吵着要玩手机，不给就闹脾气 给了不仅伤👁️ 而且还容易上瘾 直到刷到这个汤姆猫随身AI，才发现带娃能这么省心！给哥哥买了一个 不仅能陪玩聊天 还可以英语口语跟练 里面有“魔力英语”和“魔力翻译官”的功能 给孩子训练口语能力简直是太好了 安排上之后，我们大宝真的不会偷偷看电视了 现在出门遛弯走哪儿挂哪儿，恨不得去学校也带着 已经成为了它形影不离的小伙,好想要呀 | 这个可以和爸妈联系吗？能爸妈说话吗 | 我家小典是个小话唠，真的需要一个汤姆猫ai来替我分担 哈哈 | 这个很好用，十万个为什么升级版,yes,2026-06-12
xhs_ec602d9b7f,小红书,开学礼物 学生,超详细高中生送礼指南（平价无广）,初高中生,开学/返校,食品零食|服饰鞋包,平价性价比|实用刚需,5852,2399,13,136,9200,yes,大家是不是经常不知道送朋友什么礼物？身为高中生又预算有限，害怕送不到朋友喜欢的礼物🎁 希望这份送礼指南可以帮助到你！包含送礼思路，送礼类型，还有如何包装[红色心形R]全程无广！ #平价生日礼物[话题]# #礼物送女生[话题]# #生日礼物推荐[话题]# #女生生日礼物[话题]# #平价实用好物分享[话题]# #高中[话题]# #礼物[话题]#,手工类的怎么选哇[哭惹R] | 猎罪图鉴！ | 这么全这么实用 | 想要那个巧克力的链接[害羞R][萌萌哒R],yes,2026-06-12
xhs_036b9f7cde,小红书,开学礼物 学生,,泛学生/同学,开学/返校,其他礼物/综合,未显式,0,0,0,0,0,no,,,unknown,2026-06-12
xhs_10a7d672f1,小红书,开学礼物 学生,准一年级小学生入学清单🧾精简必备版✅,边缘低龄/教师奖励,开学/返校,其他礼物/综合,实用刚需,123,83,23,8,288,no,,,unknown,2026-06-12
xhs_4f7e4954e5,小红书,开学礼物 学生,精简版.一年级开学用品‼️,边缘低龄/教师奖励,开学/返校,其他礼物/综合,未显式,124,56,16,8,240,no,,,unknown,2026-06-12
xhs_34a835f76a,小红书,开学礼物 学生,闭眼抄作业❗️9款玩不腻的益智玩具,边缘低龄/教师奖励,开学/返校,3C数码/配件|IP潮玩/玩具|服饰鞋包,未显式,638,473,3,106,1417,yes,开学啦，推荐几款3-7岁小朋友喜欢玩的益智玩具 🪀GAN智能魔方 扭转丝滑，打开蓝牙就可以和App连接，内含专业动画指导，实时练习与竞技，培养小朋友的逻辑思维能力和专注力记忆力，提升反应能力 🪀智能数独 2500道关卡，难度逐步递增，锻炼孩子的逻辑思维能力，好上手，说明清晰明了 🪀兔宝宝魔术箱 3个积木1个小兔子，由易到难，可以摆出几十种造型，培养孩子的空间想象能力逻辑思维能力 🪀智趣小火车 根据题卡按照形状将小火车串联起来，题型由易到,哪里有卖？什么价[哭惹R] | 不错 | 请问魔方型号,yes,2026-06-12
xhs_fb03f48b9f,小红书,开学礼物 学生,教培 学生礼物,泛学生/同学,开学/返校,定制纪念,定制纪念,655,438,28,129,1473,yes,百万教培礼物篇：送什么之给学生的转介绍礼物！———你的礼物我的礼物好像不一样！#独立教师[话题]# #教培[话题]# #加油教培人[话题]# #教育新机遇[话题]# #线上教学[话题]# #毕业季礼物[话题]# #开学礼物[话题]# #独立老师[话题]# #教师职业发展[话题]# #教培转型[话题]#,泡泡玛特还有卡啊 | 怎么进群啊 | 我要进群[哭惹R] | 不是，你怎么这么聪明的，怎么想出来的[哇R]马上去运用了,unknown,2026-06-12
