collab_id,series_name,primary_brand,partner_names,partner_type,category,release_date,announcement_date,availability_region,brand_region,collection_size,price_min,price_max,currency,sales_channels,official_url,source_urls,primary_image_url,image_credit,confidence_level,notes,last_checked
Q12026-001,BALENCIAGA I NBA Collaboration,Balenciaga,National Basketball Association (NBA),sports league,apparel; footwear; accessories; small leather goods,2026-01-15,2026-01-15,global selected Balenciaga stores; online,France; United States,,,,,Balenciaga.com; select Balenciaga stores,https://www.balenciaga.com/en-en/balenciaga-%7C-nba-collaboration,https://www.balenciaga.com/en-en/balenciaga-%7C-nba-collaboration,https://www.balenciaga.com/on/demandware.static/Sites-BAL-R-INTL-Site/-/default/dw1c432bb9/images/thumbnail-social.png,Balenciaga / NBA,high,"Limited-edition capsule with ready-to-wear, footwear, accessories and leather goods.",2026-05-31
Q12026-002,Red Wing x HUMAN MADE The Future Is in the Past,Red Wing Heritage,HUMAN MADE,streetwear brand,footwear; apparel,2026-01-03,2026-01-03,Japan; Europe; online,United States; Japan,5,13200,184800,JPY,HUMAN MADE stores; online; selected Red Wing Heritage retailers,https://www.humanmade.jp/en/news/human-made-red-wing-2025-dec.html,https://www.humanmade.jp/en/news/human-made-red-wing-2025-dec.html | https://humanmade.jp/blogs/news/human-made-red-wing-2025-dec | https://www.ramp.space/en/artikel-blog/red-wing-x-human-made-exclusive-collection/ | https://www.ldnfashion.com/news/red-wing-launches-human-made-collaboration-in-the-uk/,https://www.ramp.space/assets/image-cache/x-byarcessang1.e2bfb6d3.fcad5607.jpg,Red Wing Heritage / HUMAN MADE,high,"Official HUMAN MADE release confirms five products, prices, online/store launch and product detail links; Ramp retained as a media discovery source.",2026-05-31
Q12026-003,Stella McCartney x Jeff Koons Limited-Edition Capsule,Stella McCartney,Jeff Koons,artist,apparel; accessories; bags,2026-01-26,2026-01-26,online; New York store,United Kingdom; United States,14,390,1690,USD,StellaMcCartney.com; Stella McCartney New York City store,https://www.stellamccartney.com/us/en/women/stella-mccartney-x-jeff-koons,https://www.stellamccartney.com/us/en/women/stella-mccartney-x-jeff-koons | https://www.elle.com/fashion/a69947238/best-fashion-launches-january-2026/,"https://hips.hearstapps.com/hmg-prod/images/a9aa8cdc-44b6-4209-8e2e-9602c7446c19.jpg?crop=1xw:0.888888888889xh;center,top&resize=1200:*",Stella McCartney / Jeff Koons,high,Official Stella McCartney collection page confirms public online sale and product-level cards; ELLE retained as launch media context.,2026-05-31
Q12026-004,SKIMS x Team USA Milano Cortina 2026 Capsule,SKIMS,Team USA,sports team,loungewear; athleticwear; underwear,2026-01-26,2026-01-26,United States; online,United States,17,20,74,USD,Skims.com,https://skims.com/collections/skims-for-team-usa,https://skims.com/collections/skims-for-team-usa | https://skims.com/en-sg/collections/skims-for-team-usa | https://www.elle.com/fashion/a69947238/best-fashion-launches-january-2026/,"https://hips.hearstapps.com/hmg-prod/images/a9aa8cdc-44b6-4209-8e2e-9602c7446c19.jpg?crop=1xw:0.888888888889xh;center,top&resize=1200:*",SKIMS / Team USA,high,Official SKIMS collection page confirms Team USA product-level cards; regional storefronts may show empty inventory while the canonical US collection still exposes SKP ItemList data.,2026-05-31
Q12026-005,Snow Goose by Haider Ackermann x Canada Goose Drop 2,Canada Goose,Haider Ackermann,designer,outerwear; apparel,2026-01-26,2026-01-26,online; select retail stores,Canada; Colombia/France,,595,1750,USD,CanadaGoose.com; select stores,https://www.elle.com/fashion/a69947238/best-fashion-launches-january-2026/,https://www.elle.com/fashion/a69947238/best-fashion-launches-january-2026/,"https://hips.hearstapps.com/hmg-prod/images/a9aa8cdc-44b6-4209-8e2e-9602c7446c19.jpg?crop=1xw:0.888888888889xh;center,top&resize=1200:*",Canada Goose / ELLE,medium,Drop 2 of the Snow Goose collection; available online by ELLE publication date.,2026-05-31
Q12026-006,Moncler + Rick Owens Spring/Summer 2026,Moncler,Rick Owens,designer brand,outerwear; apparel; footwear,2026-01-16,2026-01-16,global selected stores; online,Italy; United States/France,,670,5070,USD,Moncler.com; RickOwens.eu; selected Moncler/Rick Owens stores; select retailers,https://us.fashionnetwork.com/news/Moncler-and-rick-owens-launch-first-summer-collection%2C1798281.html,https://us.fashionnetwork.com/news/Moncler-and-rick-owens-launch-first-summer-collection%2C1798281.html | https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,https://imgix.bustle.com/uploads/image/2026/5/21/4f05eb78/zara-playa_0037.jpg?w=1200&h=630&fit=crop&crop=focalpoint&fm=jpg&fp-x=0.5415&fp-y=0.369,Moncler x Rick Owens / FashionNetwork,high,Warm-weather chapter of the ongoing collaboration; W Magazine confirms retail availability.,2026-05-31
Q12026-007,Alpha Industries x Cecilie Bahnsen Icons in Transformation,Alpha Industries,Cecilie Bahnsen,designer brand,outerwear,2026-01-23,2026-01-12,online; selected retailers,United States; Denmark,2,,,,Alpha Industries; Cecilie Bahnsen; selected retailers,https://www.designscene.net/2026/01/alpha-industries-x-cecilie-bahnsen-icons.html,https://www.designscene.net/2026/01/alpha-industries-x-cecilie-bahnsen-icons.html,https://www.designscene.net/wp-content/uploads/2026/01/Alpha-Industries-x-Cecilie-Behnsen-00.webp,Alpha Industries x Cecilie Bahnsen / Design Scene,high,"First collaborative collection, focused on MA-1 and N-2B bomber jackets.",2026-05-31
Q12026-008,Nike x NIGO Air Force 3 Final Chapter,Nike,NIGO,designer / creative director,footwear; apparel,2026-01-31,2026-01-23,Japan first; global selected retail,United States; Japan,,,,,humanmade.jp; SNKRS; select Nike retail partners,https://about.nike.com/en-GB/newsroom/releases/nike-x-nigo-partnership-launches-with-exclusive-air-force-iii-and-apparel-collection,https://about.nike.com/en-GB/newsroom/releases/nike-x-nigo-partnership-launches-with-exclusive-air-force-iii-and-apparel-collection,https://media.about.nike.com/img/2f03d126-c130-4d66-817d-d46d59006cf1/nike-x-nigo-campaign-1.jpg?m=eyJlZGl0cyI6eyJqcGVnIjp7InF1YWxpdHkiOjEwMH0sIndlYnAiOnsicXVhbGl0eSI6MTAwfSwiZXh0cmFjdCI6eyJsZWZ0IjowLCJ0b3AiOjAsIndpZHRoIjozMjAwLCJoZWlnaHQiOjIxMzJ9LCJyZXNpemUiOnsid2lkdGgiOjkwMH19fQ%3D%3D&s=2d283d2e771826ed64aed5aba2bcd159e20fdc55babf9f0d73a168943c552e46,Nike / NIGO,high,New styles began 31 January at humanmade.jp; Midnight Navy wider release followed on 6 February.,2026-05-31
Q12026-009,Jordan Brand x Levi's Air Jordan 3 and Apparel Collection,Jordan Brand,Levi's,denim brand,footwear; apparel; accessories,2026-01-24,2026-01-20,China first; global rollout,United States,13,,,,Levi.com; Levi's App; SNKRS; select Levi's and Jordan Brand stores,https://www.nike.com/a/jordan-levis-release-info,https://www.nike.com/a/jordan-levis-release-info | https://www.levi.com/US/en_US/blog/article/levis-x-jordan-collection,"https://static.nike.com/a/images/w_1920,c_limit/wzrqsjqpg6pslrevtkpl/image.png",Jordan Brand / Levi's,high,First release on 24 January in China; global full collection released 20 February.,2026-05-31
Q12026-010,PUMA x McLaren Racing Lifestyle Collection,PUMA,McLaren Racing,motorsport team,apparel; team kit; lifestyle apparel,2026-01-20,2026-01-20,global,Germany; United Kingdom,,,,,PUMA.com; McLaren Store; select PUMA stores; select retailers,https://about.puma.com/en/newsroom/corporate-news/2026/20-01-2026-mclaren-racing-and-puma-unite-performance-and-style-new,https://about.puma.com/en/newsroom/corporate-news/2026/20-01-2026-mclaren-racing-and-puma-unite-performance-and-style-new,https://about.puma.com/sites/default/files/media/news/images/26ss-pr-ms-mclaren-race-louder-03-16x9-1920x1080px.jpg,PUMA / McLaren Racing,high,Lifestyle Collection launched globally on 20 January; replica collection followed 2 February.,2026-05-31
