collab_id,series_name,primary_brand,partner_names,generated_candidate_count,checked_urls,found_product_count,accepted_product_count,accepted_product_names,status,notes,last_checked
Q12026-007,Alpha Industries x Cecilie Bahnsen Icons in Transformation,Alpha Industries,Cecilie Bahnsen,0,search:ddg:Alpha Industries Cecilie Bahnsen official [AbortError] | search:bing:Alpha Industries Cecilie Bahnsen official [200] | search:ddg:Alpha Industries Cecilie Bahnsen shop official [AbortError] | search:bing:Alpha Industries Cecilie Bahnsen shop official [200] | search:ddg:Alpha Industries Cecilie Bahnsen collection official [AbortError] | search:bing:Alpha Industries Cecilie Bahnsen collection official [200] | search:ddg:Alpha Industries x Cecilie Bahnsen Icons in Transformation shop official [AbortError] | search:bing:Alpha Industries x Cecilie Bahnsen Icons in Transformation shop official [200] | search:ddg:Alpha Industries x Cecilie Bahnsen Icons in Transformation product official [AbortError] | search:bing:Alpha Industries x Cecilie Bahnsen Icons in Transformation product official [200],0,0,,no_verified_official_skp,No product-level official row passed token and product-page verification.,2026-05-31
Q12026-008,Nike x NIGO Air Force 3 Final Chapter,Nike,NIGO,5,https://www.nike.com/launch/t/nike-x-nigo-mens-souvenir-jacket-web-only-na [200] | https://www.nike.com/launch/t/nike-x-nigo-apparel-collection [200] | https://www.nike.com/launch/t/air-force-3-low-x-nigo-baroque-brown-and-pecan [200] | https://www.nike.com/launch/t/w-af3-presents-nike-x-nigo-air-force-3 [200] | https://about.nike.com/en-GB/newsroom/releases/nike-x-nigo-partnership-launches-with-exclusive-air-force-iii-and-apparel-collection [200] | search:skipped:seed_official_candidates_verified,92,1,Nike x NIGO Men's Souvenir Jacket (HQ7525-410),official_skp_found,Accepted rows have official/retail product URLs and product-page verification.,2026-05-31
Q12026-009,Jordan Brand x Levi's Air Jordan 3 and Apparel Collection,Jordan Brand,Levi's,2,https://www.nike.com/a/jordan-levis-release-info [200] | https://www.levi.com/US/en_US/blog/article/levis-x-jordan-collection [200] | search:skipped:seed_official_candidates_verified,1,1,"Tailor Shop - Custom Clothing, Jean Repairs & Tailoring",official_skp_found,Accepted rows have official/retail product URLs and product-page verification.,2026-05-31
Q12026-010,PUMA x McLaren Racing Lifestyle Collection,PUMA,McLaren Racing,32,https://about.puma.com/en/newsroom/corporate-news/2026/20-01-2026-mclaren-racing-and-puma-unite-performance-and-style-new [200] | https://puma.com/collections/puma-for-mclaren-racing [200] | https://puma.com/collection/puma-for-mclaren-racing [200] | https://puma.com/collections/puma-x-mclaren-racing [200] | https://puma.com/collection/puma-x-mclaren-racing [200] | https://puma.com/collections/puma-mclaren-racing [200] | https://puma.com/collection/puma-mclaren-racing [200] | https://puma.com/collections/puma-x-mclaren-racing-lifestyle [200] | https://puma.com/collection/puma-x-mclaren-racing-lifestyle [200] | https://puma.com/collections/puma [200] | https://puma.com/collection/puma [200] | https://www.puma.com/collections/puma-for-mclaren-racing [200] | https://www.puma.com/collection/puma-for-mclaren-racing [200] | https://www.puma.com/collections/puma-x-mclaren-racing [200] | https://www.puma.com/collection/puma-x-mclaren-racing [200] | https://www.puma.com/collections/puma-mclaren-racing [200] | https://www.puma.com/collection/puma-mclaren-racing [200] | https://www.puma.com/collections/puma-x-mclaren-racing-lifestyle [200] | https://www.puma.com/collection/puma-x-mclaren-racing-lifestyle [200] | https://www.puma.com/collections/puma [200] | https://www.puma.com/collection/puma [200] | https://us.puma.com/us/en/search?q=McLaren%20Racing [200] | https://us.puma.com/us/en/search?q=PUMA%20x%20McLaren%20Racing%20Lifestyle [200] | https://us.puma.com/us/en/collections/puma-for-mclaren-racing [404] | https://us.puma.com/us/en/collection/puma-for-mclaren-racing [404] | https://us.puma.com/us/en/collections/puma-x-mclaren-racing [404] | https://us.puma.com/us/en/collection/puma-x-mclaren-racing [404] | https://us.puma.com/us/en/collections/puma-mclaren-racing [404] | search:ddg:site:puma.com PUMA McLaren Racing [AbortError] | search:bing:site:puma.com PUMA McLaren Racing [200] | search:ddg:site:puma.com PUMA McLaren Racing shop [AbortError] | search:bing:site:puma.com PUMA McLaren Racing shop [200] | search:ddg:site:puma.com PUMA McLaren Racing collection [AbortError] | search:bing:site:puma.com PUMA McLaren Racing collection [200] | search:ddg:site:puma.com PUMA x McLaren Racing Lifestyle Collection shop [AbortError] | search:bing:site:puma.com PUMA x McLaren Racing Lifestyle Collection shop [200] | search:ddg:site:us.puma.com PUMA McLaren Racing [AbortError] | search:bing:site:us.puma.com PUMA McLaren Racing [200] | search:ddg:site:us.puma.com PUMA McLaren Racing shop [AbortError] | search:bing:site:us.puma.com PUMA McLaren Racing shop [200] | search:ddg:site:us.puma.com PUMA McLaren Racing collection [AbortError] | search:bing:site:us.puma.com PUMA McLaren Racing collection [200] | search:ddg:site:us.puma.com PUMA x McLaren Racing Lifestyle Collection shop [AbortError] | search:bing:site:us.puma.com PUMA x McLaren Racing Lifestyle Collection shop [200] | https://www.puma.com.cn/ [200] | https://www.puma.com.cn [200] | https://puma.jd.com/ [200] | https://puma.jd.com [200],901,0,,no_verified_official_skp,No product-level official row passed token and product-page verification.,2026-05-31
Q12026-011,Aqua x Wuthering Heights Collection,Aqua,Wuthering Heights / Warner Bros. Discovery,3,https://www.bloomingdales.com/c/editorial/carousel/aqua-wuthering-heights/ [200] | https://www.bloomingdales.com/shop/aqua/aqua-x-wuthering-heights?id=1298995&cm_kws=aqua [403] | https://www.bloomingdales.com/shop/fashion-lookbooks-videos-style-guide/bloomingdales-x-wuthering-heights/Brand/AQUA?id=1299995 [403] | search:skipped:seed_official_candidates_verified,10,23,"AQUA x ""Wuthering Heights"" Sweetheart Neck High Low Gown - Exclusive | AQUA x ""Wuthering Heights"" Lace Appliqu&eacute; Crewneck Sweatshirt - Exclusive | AQUA x ""Wuthering Heights"" Lace Through Midi Dress - Exclusive | AQUA x ""Wuthering Heights"" Crystal & Baroque Pearl Statement Necklace, 16-18"" - Exclusive | AQUA x ""Wuthering Heights"" Puff Sleeve Pajama Set - Exclusive | AQUA x ""Wuthering Heights"" Heart Locket Pendant Necklace, 21-23"" - Exclusive | AQUA x ""Wuthering Heights"" Mini Slip Dress - Exclusive | AQUA x ""Wuthering Heights"" Cherub Crewneck Baby Tee - Exclusive | AQUA x ""Wuthering Heights"" Rose Skull Graphic Sweatshirt - Exclusive | AQUA x ""Wuthering Heights"" Scoop Neck Mini Dress - Exclusive | AQUA x ""Wuthering Heights"" Mini Cami Nightgown - Exclusive | AQUA x ""Wuthering Heights"" Imitation Pearl Earrings - Exclusive | AQUA x ""Wuthering Heights"" Mesh Floral Maxi Skirt - Exclusive | AQUA x ""Wuthering Heights"" Rose Skull Tee - Exclusive | AQUA x ""Wuthering Heights"" Pink Stone Earrings - Exclusive | AQUA x ""Wuthering Heights"" Strapless Smocked Back Dress - Exclusive | AQUA x ""Wuthering Heights"" Sweetheart Neck Long Sleeve Top - Exclusive | AQUA x ""Wuthering Heights"" Embroidered Gingham Dress - Exclusive | AQUA x ""Wuthering Heights"" Cable Knit Ribbon Weave Sweater - Exclusive | AQUA x ""Wuthering Heights"" Cherub Crewneck Sweatshirt - Exclusive | AQUA x ""Wuthering Heights"" Bow Back Peasant Top - Exclusive | AQUA x ""Wuthering Heights"" Ruffled Corset Gown - Exclusive | AQUA x ""Wuthering Heights"" Strapless Draped Dress - Exclusive",official_skp_found,Accepted rows have official/retail product URLs and product-page verification.,2026-05-31
Q12026-013,Solebox x BAPE STA Tokyo Lights,Solebox,A Bathing Ape (BAPE),0,search:ddg:Solebox A Bathing Ape (BAPE) official [AbortError] | search:bing:Solebox A Bathing Ape (BAPE) official [200] | search:ddg:Solebox A Bathing Ape (BAPE) shop official [AbortError] | search:bing:Solebox A Bathing Ape (BAPE) shop official [200] | search:ddg:Solebox A Bathing Ape (BAPE) collection official [AbortError] | search:bing:Solebox A Bathing Ape (BAPE) collection official [200] | search:ddg:Solebox x BAPE STA Tokyo Lights shop official [AbortError] | search:bing:Solebox x BAPE STA Tokyo Lights shop official [200] | search:ddg:Solebox x BAPE STA Tokyo Lights product official [AbortError] | search:bing:Solebox x BAPE STA Tokyo Lights product official [200],0,0,,no_verified_official_skp,No product-level official row passed token and product-page verification.,2026-05-31
Q12026-015,Pandora x Bridgerton Collection,Pandora,Bridgerton / Netflix,26,https://pandora.net/collections/pandora-for-bridgerton [403] | https://pandora.net/collection/pandora-for-bridgerton [403] | https://pandora.net/collections/pandora-x-bridgerton [403] | https://pandora.net/collection/pandora-x-bridgerton [403] | https://pandora.net/collections/pandora-bridgerton [403] | https://pandora.net/collection/pandora-bridgerton [403] | https://pandora.net/collections/pandora [403] | https://pandora.net/collection/pandora [403] | https://pandora.net/collections/bridgerton [403] | https://pandora.net/collection/bridgerton [403] | https://www.pandora.net/collections/pandora-for-bridgerton [403] | https://www.pandora.net/collection/pandora-for-bridgerton [403] | https://www.pandora.net/collections/pandora-x-bridgerton [403] | https://www.pandora.net/collection/pandora-x-bridgerton [403] | https://www.pandora.net/collections/pandora-bridgerton [403] | https://www.pandora.net/collection/pandora-bridgerton [403] | https://www.pandora.net/collections/pandora [403] | https://www.pandora.net/collection/pandora [403] | https://www.pandora.net/collections/bridgerton [403] | https://www.pandora.net/collection/bridgerton [403] | https://us.pandora.net/en/search?q=Bridgerton [403] | https://us.pandora.net/en/search?q=Netflix [403] | search:ddg:site:pandora.net Pandora Bridgerton [AbortError] | search:bing:site:pandora.net Pandora Bridgerton [200] | search:ddg:site:pandora.net Pandora Bridgerton shop [AbortError] | search:bing:site:pandora.net Pandora Bridgerton shop [200] | search:ddg:site:pandora.net Pandora Bridgerton collection [AbortError] | search:bing:site:pandora.net Pandora Bridgerton collection [200] | search:ddg:site:pandora.net Pandora x Bridgerton Collection shop [AbortError] | search:bing:site:pandora.net Pandora x Bridgerton Collection shop [200] | search:ddg:Pandora Bridgerton official [AbortError] | search:bing:Pandora Bridgerton official [200] | search:ddg:Pandora Bridgerton shop official [AbortError] | search:bing:Pandora Bridgerton shop official [200] | search:ddg:Pandora Bridgerton collection official [AbortError] | search:bing:Pandora Bridgerton collection official [200] | search:ddg:Pandora x Bridgerton Collection shop official [AbortError] | search:bing:Pandora x Bridgerton Collection shop official [200] | https://www.pandora.com/ [200] | https://www.pandora.com [200] | https://pandoragroup.com/ [200] | https://pandoragroup.com [200],4,0,,no_verified_official_skp,No product-level official row passed token and product-page verification.,2026-05-31
Q12026-016,BAPE x adidas World Cup Pack,A Bathing Ape (BAPE),adidas,28,https://bape.com/collections/a-bathing-ape-bape-for-adidas [404] | https://bape.com/collection/a-bathing-ape-bape-for-adidas [404] | https://bape.com/collections/a-bathing-ape-bape-x-adidas [404] | https://bape.com/collection/a-bathing-ape-bape-x-adidas [404] | https://bape.com/collections/a-bathing-ape-bape-adidas [404] | https://bape.com/collection/a-bathing-ape-bape-adidas [404] | https://bape.com/collections/bape-x-adidas-world-cup-pack [404] | https://bape.com/collection/bape-x-adidas-world-cup-pack [404] | https://bape.com/collections/bape [404] | https://bape.com/collection/bape [404] | https://www.bape.com/collections/a-bathing-ape-bape-for-adidas [404] | https://www.bape.com/collection/a-bathing-ape-bape-for-adidas [404] | https://www.bape.com/collections/a-bathing-ape-bape-x-adidas [404] | https://www.bape.com/collection/a-bathing-ape-bape-x-adidas [404] | https://www.bape.com/collections/a-bathing-ape-bape-adidas [404] | https://www.bape.com/collection/a-bathing-ape-bape-adidas [404] | https://www.bape.com/collections/bape-x-adidas-world-cup-pack [404] | https://www.bape.com/collection/bape-x-adidas-world-cup-pack [404] | https://www.bape.com/collections/bape [404] | https://www.bape.com/collection/bape [404] | https://us.bape.com/search?q=adidas [200] | https://us.bape.com/search?q=BAPE%20x%20adidas%20World%20Cup%20Pack [200] | https://us.bape.com/collections/a-bathing-ape-bape-for-adidas [404] | https://us.bape.com/collection/a-bathing-ape-bape-for-adidas [404] | https://us.bape.com/collections/a-bathing-ape-bape-x-adidas [404] | https://us.bape.com/collection/a-bathing-ape-bape-x-adidas [404] | https://us.bape.com/collections/a-bathing-ape-bape-adidas [404] | https://us.bape.com/collection/a-bathing-ape-bape-adidas [404] | search:ddg:site:bape.com BAPE adidas [AbortError] | search:bing:site:bape.com BAPE adidas [200] | search:ddg:site:bape.com A Bathing Ape (BAPE) adidas [AbortError] | search:bing:site:bape.com A Bathing Ape (BAPE) adidas [200] | search:ddg:site:bape.com A Bathing Ape (BAPE) adidas shop [AbortError] | search:bing:site:bape.com A Bathing Ape (BAPE) adidas shop [200] | search:ddg:site:bape.com A Bathing Ape (BAPE) adidas collection [AbortError] | search:bing:site:bape.com A Bathing Ape (BAPE) adidas collection [200] | search:ddg:site:us.bape.com BAPE adidas [AbortError] | search:bing:site:us.bape.com BAPE adidas [200] | search:ddg:site:us.bape.com A Bathing Ape (BAPE) adidas [AbortError] | search:bing:site:us.bape.com A Bathing Ape (BAPE) adidas [200] | search:ddg:site:us.bape.com A Bathing Ape (BAPE) adidas shop [AbortError] | search:bing:site:us.bape.com A Bathing Ape (BAPE) adidas shop [200] | search:ddg:site:us.bape.com A Bathing Ape (BAPE) adidas collection [AbortError] | search:bing:site:us.bape.com A Bathing Ape (BAPE) adidas collection [200],6,0,,no_verified_official_skp,No product-level official row passed token and product-page verification.,2026-05-31
Q12026-018,Fast & Furious x PUMA Basketball Collection,PUMA,Fast & Furious / Universal Pictures,32,https://us.puma.com/us/en [200] | https://puma.com/collections/puma-for-fast-and-furious [200] | https://puma.com/collection/puma-for-fast-and-furious [200] | https://puma.com/collections/puma-x-fast-and-furious [200] | https://puma.com/collection/puma-x-fast-and-furious [200] | https://puma.com/collections/puma-fast-and-furious [200] | https://puma.com/collection/puma-fast-and-furious [200] | https://puma.com/collections/fast-and-furious-x-puma-basketball [200] | https://puma.com/collection/fast-and-furious-x-puma-basketball [200] | https://puma.com/collections/fast-and-furious [200] | https://puma.com/collection/fast-and-furious [200] | https://www.puma.com/collections/puma-for-fast-and-furious [200] | https://www.puma.com/collection/puma-for-fast-and-furious [200] | https://www.puma.com/collections/puma-x-fast-and-furious [200] | https://www.puma.com/collection/puma-x-fast-and-furious [200] | https://www.puma.com/collections/puma-fast-and-furious [200] | https://www.puma.com/collection/puma-fast-and-furious [200] | https://www.puma.com/collections/fast-and-furious-x-puma-basketball [200] | https://www.puma.com/collection/fast-and-furious-x-puma-basketball [200] | https://www.puma.com/collections/fast-and-furious [200] | https://www.puma.com/collection/fast-and-furious [200] | https://us.puma.com/us/en/search?q=Fast%20%26%20Furious [200] | https://us.puma.com/us/en/search?q=Universal%20Pictures [200] | https://us.puma.com/us/en/collections/puma-for-fast-and-furious [404] | https://us.puma.com/us/en/collection/puma-for-fast-and-furious [404] | https://us.puma.com/us/en/collections/puma-x-fast-and-furious [404] | https://us.puma.com/us/en/collection/puma-x-fast-and-furious [404] | https://us.puma.com/us/en/collections/puma-fast-and-furious [404] | search:ddg:site:puma.com Fast & Furious Fast & Furious [AbortError] | search:bing:site:puma.com Fast & Furious Fast & Furious [200] | search:ddg:site:puma.com PUMA Fast & Furious [AbortError] | search:bing:site:puma.com PUMA Fast & Furious [200] | search:ddg:site:puma.com PUMA Fast & Furious shop [AbortError] | search:bing:site:puma.com PUMA Fast & Furious shop [200] | search:ddg:site:puma.com PUMA Fast & Furious collection [AbortError] | search:bing:site:puma.com PUMA Fast & Furious collection [200] | search:ddg:site:us.puma.com Fast & Furious Fast & Furious [AbortError] | search:bing:site:us.puma.com Fast & Furious Fast & Furious [200] | search:ddg:site:us.puma.com PUMA Fast & Furious [AbortError] | search:bing:site:us.puma.com PUMA Fast & Furious [200] | search:ddg:site:us.puma.com PUMA Fast & Furious shop [AbortError] | search:bing:site:us.puma.com PUMA Fast & Furious shop [200] | search:ddg:site:us.puma.com PUMA Fast & Furious collection [AbortError] | search:bing:site:us.puma.com PUMA Fast & Furious collection [200] | https://www.puma.com.cn/ [200] | https://www.puma.com.cn [200] | https://puma.jd.com/ [200] | https://puma.jd.com [200],939,0,,no_verified_official_skp,No product-level official row passed token and product-page verification.,2026-05-31
Q12026-019,adidas x Entire Studios SS26,adidas,Entire Studios,36,https://news.adidas.com/partnerships/adidas-and-entire-studios-introduce-a-new-expression-of-modern-sport-style--built-for-movement/s/167c4b9b-c8b5-4f0d-a373-65bcfd0b495d [202] | https://adidas.com/collections/adidas-for-entire-studios [403] | https://adidas.com/collection/adidas-for-entire-studios [403] | https://adidas.com/collections/adidas-x-entire-studios [403] | https://adidas.com/collection/adidas-x-entire-studios [403] | https://adidas.com/collections/adidas-entire-studios [403] | https://adidas.com/collection/adidas-entire-studios [403] | https://adidas.com/collections/adidas [403] | https://adidas.com/collection/adidas [403] | https://adidas.com/collections/entire-studios [403] | https://adidas.com/collection/entire-studios [403] | https://www.adidas.com/collections/adidas-for-entire-studios [403] | https://www.adidas.com/collection/adidas-for-entire-studios [403] | https://www.adidas.com/collections/adidas-x-entire-studios [403] | https://www.adidas.com/collection/adidas-x-entire-studios [403] | https://www.adidas.com/collections/adidas-entire-studios [403] | https://www.adidas.com/collection/adidas-entire-studios [403] | https://www.adidas.com/collections/adidas [403] | https://www.adidas.com/collection/adidas [403] | https://www.adidas.com/collections/entire-studios [403] | https://www.adidas.com/collection/entire-studios [403] | https://www.adidas.com/us/search?q=Entire%20Studios [403] | https://www.adidas.com/us/search?q=adidas%20x%20Entire%20Studios [403] | https://news.adidas.com/collections/adidas-for-entire-studios [202] | https://news.adidas.com/collection/adidas-for-entire-studios [202] | https://news.adidas.com/collections/adidas-x-entire-studios [202] | https://news.adidas.com/collection/adidas-x-entire-studios [202] | https://news.adidas.com/collections/adidas-entire-studios [202] | search:ddg:site:adidas.com adidas Entire Studios [AbortError] | search:bing:site:adidas.com adidas Entire Studios [200] | search:ddg:site:adidas.com adidas Entire Studios shop [AbortError] | search:bing:site:adidas.com adidas Entire Studios shop [200] | search:ddg:site:adidas.com adidas Entire Studios collection [AbortError] | search:bing:site:adidas.com adidas Entire Studios collection [200] | search:ddg:site:adidas.com adidas x Entire Studios SS26 shop [AbortError] | search:bing:site:adidas.com adidas x Entire Studios SS26 shop [200] | search:ddg:site:news.adidas.com adidas Entire Studios [AbortError] | search:bing:site:news.adidas.com adidas Entire Studios [200] | search:ddg:site:news.adidas.com adidas Entire Studios shop [AbortError] | search:bing:site:news.adidas.com adidas Entire Studios shop [200] | search:ddg:site:news.adidas.com adidas Entire Studios collection [AbortError] | search:bing:site:news.adidas.com adidas Entire Studios collection [200] | search:ddg:site:news.adidas.com adidas x Entire Studios SS26 shop [AbortError] | search:bing:site:news.adidas.com adidas x Entire Studios SS26 shop [200] | https://www.adidas.com.cn/ [200] | https://www.adidas.com.cn [200] | https://www.adidas.com/us [403] | https://www.adidas.com [403] | https://www.adidas.co.uk/ [403] | https://www.adidas.co.uk [403] | https://www.adidas.com.hk/en [403] | https://www.adidas.com.hk [403] | https://adidas.jd.com/ [200] | https://adidas.jd.com [200] | https://www.adidas.jp/ [403] | https://www.adidas.jp [403],2,0,,no_verified_official_skp,No product-level official row passed token and product-page verification.,2026-05-31
