region,matched_unique_notes,sample_note_ids,sample_snippets
中国台湾/台北,3,4896175843708507;5297068788942972;5299321139889026,5299321139889026: 中国台北、泰国、还有日本的成毅生日应援大屏也来了，长沙、长春、内蒙古等等等等，到处都是超级用心爱毅满满的为庆生活动，全世界有这么这么多人爱你，真好0517倒计时2小时#成毅# | 5297068788942972: 成毅粉丝为成毅准备的生日应援➕两京十五日剧宣！应援覆盖全国29省176城，累计解锁超270块大屏，囊括北京、上海、广州、深圳、长沙、成都、武汉、南京等一线核心城市，及多地三四线城… | 4896175843708507: 𝗖𝗛𝗘𝗡𝗚𝗬𝗜 ·𝟬𝟱𝟭𝟳𝗗𝗔𝗬 【应援视频预览 】美国·纽约时代广场巨幕韩国·弘大地铁站四连屏中国·台湾· 台北应援车大家毅淇快乐吸淇 祝成毅生日快乐应援视频预览 未完待续….…
中国大陆,32,4973397823717593;4994540811322312;5020197752935884;5033103120139151;5166307305593082;5166830797719298;5167244989694521;5167963067126198;5209301067236219;5212000584208980,5285373330850587: 我们都在寻找一个 GAP —— 一个敢于停下的地方 一次深呼吸的机会 让情绪被舒适安放 然后，更有力地 #走出这一刻#不喧哗，却更有力量 不张扬，却步步回响 Move forwa… | 5285525795898768: #整个南京路都是成毅大屏# 起猛了，成毅霸屏整条南京路六联屏！！！越夜越美丽✨成毅跳舞好帅#成毅跳舞大屏# | 5284770440807172: #gap中国品牌代言人成毅##成毅# Gap重庆打卡，好漂亮的代言人，休假了有空也去璧山打卡太好看了成毅 小程序爱成毅的微博视频 | 5285387270360068: #GAP中国品牌代言人成毅#支持代言人@成毅 #成毅#
多国应援,20,4872263755104494;4872323242662046;4872324531362181;4874268162396071;4902468113138955;4973397823717593;4973526303376961;4994540811322312;5006199951197538;5006200171136136,5299494157550132: #成毅0517生日快乐#今天刷到成毅生日的各种应援，我真的哭了好多次好多次！2026年5月17日，是演员成毅的36岁生日，全网的粉丝都在用自己的方式为他庆生，这份跨越山海的爱，真… | 5298808493708764: 不仅国内的果果在发力，国外的果果也在发力，日本，泰国都看到成毅生日应援大屏了，还有新加坡的果果们开Party为成毅庆祝生日韩国果果为成毅庆生准备的咖啡厅应援因为爱我们相聚在一起，… | 5297068788942972: 成毅粉丝为成毅准备的生日应援➕两京十五日剧宣！应援覆盖全国29省176城，累计解锁超270块大屏，囊括北京、上海、广州、深圳、长沙、成都、武汉、南京等一线核心城市，及多地三四线城… | 5033633356976510: #成毅0517生日快乐 毅淇同行# 十国应援投屏 部分素材预览⏩这个长屏尺寸比较特殊，不能合并在一起发，单独发一条！斯里兰卡 泰国 菲律宾三国已于今日上刊晚上8:45有第一天幕试…
新加坡,13,5020197752935884;5022268089176426;5035188129892949;5036938765538923;5076006807015548;5164018592122751;5165772680204516;5166567819316286;5167244989694521;5295668802880428,5299494157550132: #成毅0517生日快乐#今天刷到成毅生日的各种应援，我真的哭了好多次好多次！2026年5月17日，是演员成毅的36岁生日，全网的粉丝都在用自己的方式为他庆生，这份跨越山海的爱，真… | 5298808493708764: 不仅国内的果果在发力，国外的果果也在发力，日本，泰国都看到成毅生日应援大屏了，还有新加坡的果果们开Party为成毅庆祝生日韩国果果为成毅庆生准备的咖啡厅应援因为爱我们相聚在一起，… | 5297068788942972: 成毅粉丝为成毅准备的生日应援➕两京十五日剧宣！应援覆盖全国29省176城，累计解锁超270块大屏，囊括北京、上海、广州、深圳、长沙、成都、武汉、南京等一线核心城市，及多地三四线城… | 5166567819316286: #成毅0517生日快乐# cy#成毅0517生日快乐 毅淇同行# 💚 成毅生日+《赴山海》剧宣联合应援 💚「马来西亚」Part 4: 马来西亚柔佛-新加坡双向跨境巴士车载电视投放…
日本,8,5298797368051644;5298808493708764;5298812285619737;5298852899848260;5298932554662030;5299321139889026;5299482707364946;5299494157550132,5299321139889026: 中国台北、泰国、还有日本的成毅生日应援大屏也来了，长沙、长春、内蒙古等等等等，到处都是超级用心爱毅满满的为庆生活动，全世界有这么这么多人爱你，真好0517倒计时2小时#成毅# | 5298797368051644: 成毅生日日本剧宣生贺双屏应援今日上线，好棒啊，生日月海内外果果齐上阵，内娱独一份的生日排面，成毅值得！ | 5299494157550132: #成毅0517生日快乐#今天刷到成毅生日的各种应援，我真的哭了好多次好多次！2026年5月17日，是演员成毅的36岁生日，全网的粉丝都在用自己的方式为他庆生，这份跨越山海的爱，真… | 5299482707364946: 日本果果们㊗️成毅生日快乐 与淇同行！平安喜乐，万事顺心！#成毅0517生日快乐 毅淇同行#成毅 日本·东京 淇橙成橙砂糖橘的微博视频
欧洲/法国,4,4872263755104494;4872323242662046;4872324531362181;4874268162396071,4872324531362181: #成毅巴黎时装周粉丝海外应援#王子即将远航，后援会+4个站姐，双向奔赴的爱成毅法国巴黎时装周线下应援来啦目前是后援会+四个站子有大屏+玫瑰花+气球+应援车+横幅等等太激动了 苏格… | 4872263755104494: #成毅巴黎时装周# cy#成毅#💚法国巴黎时装周应援公示🥝[ 踏月而来，这繁星便是赠礼 黑夜向黎明，而我奔向你 ]毅只喵应援物品如下线下发放：手幅、小卡、吧唧、海报、透扇、钥匙扣… | 4874268162396071: @成毅 @成毅工作室 成毅#成毅##成毅巴黎时装周粉丝海外应援# @成毅全国粉丝后援会 M梦梦猫M的微博视频 | 4872323242662046: #成毅巴黎时装周粉丝海外应援#今日@成毅全国粉丝后援会 在微博晒出@成毅 巴黎时装周海外应援，成毅粉丝真的好用心耶!
泰国,16,5014339230633136;5020197752935884;5020512436358025;5033633356976510;5164256694370475;5167579660293040;5167963067126198;5294917817730604;5297068788942972;5298481560555476,5299321139889026: 中国台北、泰国、还有日本的成毅生日应援大屏也来了，长沙、长春、内蒙古等等等等，到处都是超级用心爱毅满满的为庆生活动，全世界有这么这么多人爱你，真好0517倒计时2小时#成毅# | 5299494157550132: #成毅0517生日快乐#今天刷到成毅生日的各种应援，我真的哭了好多次好多次！2026年5月17日，是演员成毅的36岁生日，全网的粉丝都在用自己的方式为他庆生，这份跨越山海的爱，真… | 5298808493708764: 不仅国内的果果在发力，国外的果果也在发力，日本，泰国都看到成毅生日应援大屏了，还有新加坡的果果们开Party为成毅庆祝生日韩国果果为成毅庆生准备的咖啡厅应援因为爱我们相聚在一起，… | 5297068788942972: 成毅粉丝为成毅准备的生日应援➕两京十五日剧宣！应援覆盖全国29省176城，累计解锁超270块大屏，囊括北京、上海、广州、深圳、长沙、成都、武汉、南京等一线核心城市，及多地三四线城…
越南,2,4988720888154054;5140911357692279,4988720888154054: #成毅狐妖小红娘王权篇#cy#成毅王权富贵#❥ ℒℴvℯ 𝓎ℴ𝓊 成毅 💚💚💚 ━━━━━━━━━━━*̣̩⋆̩☽⋆越南果果 🌟🌟🌟🌟🌟🌟✳️ ✳️ 成毅，你路过我的生命，温柔缱… | 5140911357692279: 【#智搜DS评中国电视剧人气男演员#】#肖战日媒中国电视剧演员人气榜登顶#登上热搜，近年来中国电视剧在海外影响力逐渐上升。对此，@荔枝新闻 向智搜DS提问“评选中国电视剧人气男演…
韩国,14,4896175843708507;4901664014207606;5161520737291448;5161863684556372;5164256694370475;5164262617514033;5295218389419032;5295289483395150;5295477270776206;5297020535046988,5295218389419032: 韩国首尔成毅生日应援大屏 小程序爱成毅的微博视频 | 5161520737291448: 成毅#成毅生日##成毅0517生日快乐 毅淇同行# 韩国的生日咖啡店即将开业～这时期访问韩国或者住在韩国的中国果果们～大家一起庆祝一下@成毅 哥哥的生日 我们在“弘大路口”等你～… | 5298808493708764: 不仅国内的果果在发力，国外的果果也在发力，日本，泰国都看到成毅生日应援大屏了，还有新加坡的果果们开Party为成毅庆祝生日韩国果果为成毅庆生准备的咖啡厅应援因为爱我们相聚在一起，… | 5299301442125873: 成毅 生日快乐 #成毅0517生日快乐 毅淇同行#今天去了首尔线下的生日应援，好多韩国的果果喜欢这个ee，新的一岁，祝事业顺利蒸蒸日上@成毅 #成毅0517生日快乐##成毅生日#…
马来西亚,18,4898735509998756;4902341671389837;5001092562159059;5033103120139151;5035004687552227;5035188129892949;5037543811449595;5164018592122751;5165772680204516;5165899552391388,5166567819316286: #成毅0517生日快乐# cy#成毅0517生日快乐 毅淇同行# 💚 成毅生日+《赴山海》剧宣联合应援 💚「马来西亚」Part 4: 马来西亚柔佛-新加坡双向跨境巴士车载电视投放… | 5035188129892949: #成毅# cy #成毅生日应援# 马来西亚🇲🇾和新加坡🇸🇬的生日应援投屏🫶🏻何其有幸这辈子可以认识到你 @成毅 希望所有俗套的祝福语都在你身上应验，生日快乐傅诗淇🫶🏻 月亮只有一… | 5167244989694521: #成毅0517生日快乐 毅淇同行#宝子们，成毅5月17日生日啦，这次生日庆祝超热闹！线上，粉丝各种创意输出，手绘、手书、视频混剪不断，还有超话征集作品送奖金。湖南卫视也来助力，发… | 5165772680204516: #成毅0517生日快乐 毅淇同行# cy #成毅#这是一份来自马来西亚的生日祝福💚横店是你的逐梦之地，也是故事的起点。于是，我们的跑步起点从这里开始。2024年5月16日，一行马…
