note_id,date,source_keyword,nickname,ip_location,liked_count,comments_count,shared_count,engagement_lower_bound,url,snippet
5285373330850587,2026-04-08 10:17:42+08:00,GAP中国品牌代言人成毅,成毅,湖南,6808575,1000000,1000000,8808575,https://m.weibo.cn/detail/5285373330850587,我们都在寻找一个 GAP —— 一个敢于停下的地方 一次深呼吸的机会 让情绪被舒适安放 然后，更有力地 #走出这一刻#不喧哗，却更有力量 不张扬，却步步回响 Move forward in GAP. #GAP中国品牌代言人成毅#GAP官方的微博视频
5213102909428665,2025-09-21 00:00:51+08:00,GAP中国品牌代言人成毅,成毅的数数子,广东,9739,24945,28418,63102,https://m.weibo.cn/detail/5213102909428665,成毅老师不仅是角色的扮演者，更是灵魂的注入者。每一帧眼神流转，每一次指尖微颤，皆成戏。 #GAP中国品牌代言人成毅#cy#成毅萧秋水李沉舟肖明明#成毅｜赴山海｜萧秋水｜李沉舟｜肖明明｜狐妖小红娘王权篇｜王权富贵｜卢云 | 长安二十四计｜谢淮安｜@成毅 网页链接
5256784299426606,2026-01-19 12:55:06+08:00,成毅GAP,LuvGhost1000,四川,21896,4502,10732,37130,https://m.weibo.cn/detail/5256784299426606,成毅·𝙂𝘼𝙋
5236918745043504,2025-11-25 17:16:29+08:00,成毅GAP,LuvGhost1000,四川,14545,5540,10312,30397,https://m.weibo.cn/detail/5236918745043504,⸝⸝ 这不是男大是什么！成毅·𝙂𝘼𝙋
5209301067236219,2025-09-10 12:13:41+08:00,GAP中国品牌代言人成毅,奇妙果果留声机,北京,14598,2793,3329,20720,https://m.weibo.cn/detail/5209301067236219,GAP 中国品牌代言人📍品牌主页： 网页链接9月12日 预热日10:17 品牌【预热物料1】（品牌🍠、抖🎶同步）17:17 品牌【预热物料2】（品牌🍠、抖🎶同步）9月13日 预热日10:17 品牌【预热物料3】（品牌🍠、抖🎶同步）17:17 品牌 【预热物料4】（品牌🍠、抖🎶同步）9月14日 预热…
5285387270360068,2026-04-08 11:13:06+08:00,GAP中国品牌代言人成毅,就是一鼎沉香炉,北京,14606,884,398,15888,https://m.weibo.cn/detail/5285387270360068,#GAP中国品牌代言人成毅#支持代言人@成毅 #成毅#
5285395308480664,2026-04-08 11:45:02+08:00,GAP中国品牌代言人成毅,LuvGhost1000,四川,7031,1817,3069,11917,https://m.weibo.cn/detail/5285395308480664,⸝⸝ 不如跳舞#GAP中国品牌代言人成毅#
5299506335979290,2026-05-17 10:17:13+08:00,成毅海外粉丝后援会,成毅的小抖篷,安徽,6923,805,1303,9031,https://m.weibo.cn/detail/5299506335979290,【成毅生日祝福视频】（代后援会发）又到了果果们最幸福的0517啦✨这一天，是所有果果期待了一整年的日子。大家提前很久就悄悄准备着，把藏在心里的牵挂、想念和祝福，一点点录进视频里。 本次一共收录了400多条来自世界各地果果的祝福，总时长2727秒。这份沉甸甸的祝福合集，已经完整送到哥哥手里啦。天南地…
4872263755104494,2023-02-23 11:07:43+08:00,成毅海外粉丝后援会,毅只喵_成毅,浙江,4394,1898,1650,7942,https://m.weibo.cn/detail/4872263755104494,#成毅巴黎时装周# cy#成毅#💚法国巴黎时装周应援公示🥝[ 踏月而来，这繁星便是赠礼 黑夜向黎明，而我奔向你 ]毅只喵应援物品如下线下发放：手幅、小卡、吧唧、海报、透扇、钥匙扣、帆布包以上7样物品各27份应援时间：3月5日（具体时间待当日通知）领取地点：时装周现场（具体地点待当日通知）线上抽取：…
5286969538251321,2026-04-12 20:00:28+08:00,成毅GAP,詪蝶,河北,6970,436,19,7425,https://m.weibo.cn/detail/5286969538251321,肖战 成毅，微博主页极致反差恶意退款成毅助农产品已违法
5285400857805166,2026-04-08 12:07:05+08:00,成毅GAP,飞升顶流的一天,新疆,6410,246,187,6843,https://m.weibo.cn/detail/5285400857805166,成毅最新地广排面，“男团舞”铺满全国，太太太帅了！！！！！！！！！！！！！！官宣即霸榜，财神爷来了🔥
5303489211403639,2026-05-28 10:03:45+08:00,成毅GAP,追剧seven仙女,福建,4245,384,415,5044,https://m.weibo.cn/detail/5303489211403639,成毅不愧财顶➕大福星，宝尊电商2026财年第一季度业绩显示，净收入同比增长15.3%至23.81亿元，电商产品销售收入同比增长20.6%至5.103亿元，品牌管理的产品销售收入大涨39%至5.376亿元，主要得益于旗下Gap品牌的销售额提升。GAP是25年9月签了成毅代言后，当年第四季度首次实现季…
5277758064431705,2026-03-18 09:57:21+08:00,成毅GAP,左三一Zoe,上海,1453,1086,2367,4906,https://m.weibo.cn/detail/5277758064431705,春日 派对成毅 × GAP｜ 调修#成毅# 专栏 · 浅修·2026
5165772680204516,2025-05-13 09:27:25+08:00,成毅生日应援新加坡,莎淇酱,马来西亚,3264,620,769,4653,https://m.weibo.cn/detail/5165772680204516,#成毅0517生日快乐 毅淇同行# cy #成毅#这是一份来自马来西亚的生日祝福💚横店是你的逐梦之地，也是故事的起点。于是，我们的跑步起点从这里开始。2024年5月16日，一行马来西亚果果在横店，带着我们的信仰出发，为爱“毅”写上序语。历时一年的生日应援，我们用脚步和镜头攒下马来西亚和新加坡的风景…
5213731023750344,2025-09-22 17:36:45+08:00,GAP中国品牌代言人成毅,ELLE,,4204,159,151,4514,https://m.weibo.cn/detail/5213731023750344,生活总催促我们跟上节奏，但真正的共鸣，并不在整齐划一的节拍里。“焦虑空窗期”让我们忘了，空白，并非停滞，而是生活间奏中，不被定义的舞台。此番，GAP中国携手实力派演员成毅，以品牌代言人的身份重新定义Gap“空白期”——每一次停下脚步，都是找回自我的舞台，更是一场关于“成为自己”的有力回应！
4898735509998756,2023-05-07 12:17:02+08:00,成毅生日应援马来西亚,莎淇酱,马来西亚,2787,839,692,4318,https://m.weibo.cn/detail/4898735509998756,#成毅0517生日快乐 毅淇同行# cy #成毅#💚成毅·生日应援公告💚🌟✨🌟✨🌟✨🌟Selamat Hari Jadi Kepada Cheng Yi Yang Tersayang Semoga Hidup Diberkati Bahagia Dan Penuh Harapan (译：最爱的成毅…
5286113654344146,2026-04-10 11:19:29+08:00,GAP中国品牌代言人成毅,宁何汇川,湖南,3307,517,390,4214,https://m.weibo.cn/detail/5286113654344146,成年没啊到底……………🆘🆘#GAP中国品牌代言人成毅#
4901664014207606,2023-05-15 14:13:52+08:00,成毅生日应援韩国,猪离开了它的外套OO,浙江,3661,373,79,4113,https://m.weibo.cn/detail/4901664014207606,成毅生日粉丝应援表看的眼花缭乱排面好大！！
5285920220644250,2026-04-09 22:30:51+08:00,成毅GAP,内娱乐子人g,江苏,3917,97,62,4076,https://m.weibo.cn/detail/5285920220644250,成毅GAP续约官宣以后…粉丝又又买爆了…销售额不完全统计已破5000万…线上断货，线下人山人海排队结账…ee的商业价值太顶了啊
5299302696227023,2026-05-16 20:48:02+08:00,成毅GAP,超市没有好吃的,江西,3396,433,201,4030,https://m.weibo.cn/detail/5299302696227023,GAP为成毅包下外滩320米生日痛楼和东方明珠同框的震撼程度感受一下品牌霸霸太宠代言人了，成毅生日快乐#成毅#成毅
5303296266866849,2026-05-27 21:17:03+08:00,GAP中国品牌代言人成毅,人生得毅须尽欢_追毅,河南,3669,69,46,3784,https://m.weibo.cn/detail/5303296266866849,GAP真的赢麻了！遇到成毅这么宠品牌的真笑发财了！
4896175843708507,2023-04-30 10:45:50+08:00,成毅生日应援韩国,毅淇有的说-老北鼻,江西,2717,577,291,3585,https://m.weibo.cn/detail/4896175843708507,𝗖𝗛𝗘𝗡𝗚𝗬𝗜 ·𝟬𝟱𝟭𝟳𝗗𝗔𝗬 【应援视频预览 】美国·纽约时代广场巨幕韩国·弘大地铁站四连屏中国·台湾· 台北应援车大家毅淇快乐吸淇 祝成毅生日快乐应援视频预览 未完待续….@拾柒号小獅子 视频剪辑@成毅@成毅工作室#成毅0517生日快乐 毅淇同行# 毅淇有的说的微博视频
5285377204293795,2026-04-08 10:33:06+08:00,GAP中国品牌代言人成毅,明月别枝了,山东,3122,238,90,3450,https://m.weibo.cn/detail/5285377204293795,搞定支持@成毅 #GAP中国品牌代言人成毅#成毅
5291350979514983,2026-04-24 22:10:45+08:00,成毅 Gap,顶流仙女已飞升,福建,3044,108,49,3201,https://m.weibo.cn/detail/5291350979514983,成毅家留声机整个4月份怎么一直在响啊，还全部是顶级title…怎么办啊，这才四月份呢
5286204547274426,2026-04-10 17:20:40+08:00,成毅GAP,再见不再见cy,上海,2463,219,460,3142,https://m.weibo.cn/detail/5286204547274426,成毅 ⨯ GAP｜新壁纸有了，元气满满的温柔男大！
