memory_point,total_likes,post_likes,comment_likes,post_count,comment_count,top_samples
FAKEME首位全球品牌代言与双向奔赴,9378736,8940840,437896,365,43,[post 8659382] 很高兴成为@Fakeme眼镜官方微博 首位全球品牌代言人，演绎不一样的「我」。你、我都不止一面，温柔和酷飒、安静和果敢，也并不矛盾。 Fakeme，find me。戴上#Fakeme#，更清晰地找到自己的每一面。#Fakeme首位全球品牌代言人迪丽热巴# #Fakeme和迪丽热巴的双向奔赴# https://m.weibo.cn/detail/5259315298174647 || [comment 71296] Fakeme荣幸宣布，迪丽热巴出任首位全球品牌代言人！Fakeme，Find me. 我本多面，「镜」在掌握！ 即刻见证风格与美的双向奔赴 https://m.weibo.cn/detail/5259315298174647 || [comment 52666] #Fakeme首位全球品牌代言人迪丽热巴# 恭喜@Dear-迪丽热巴 解锁新代言，成为@Fakeme眼镜官方微博 首位全球品牌代言人！欢迎新朋友，未来和巴巴一起走花路呀～～ https://m.weibo.cn/detail/5259315298174647 || [comment 47505] 恭喜宝宝解锁新代言！！！释放温柔能量，诠释鲜活自我💐欢迎新朋友@Fakeme眼镜官方微博 https://m.weibo.cn/detail/5259315298174647 || [comment 44506] 恭喜姐姐@Dear-迪丽热巴 解锁新的全球代言人身份~欢迎新朋友到来@Fakeme眼镜官方微博 未来并肩探索更多精彩和更酷的造型呀🤓 https://m.weibo.cn/detail/5259315298174647
Dior迪奥甜品店/全球品牌大使/高定时尚记忆,6565242,6357432,207810,934,159,[post 4205215] 去“甜品王国”一日游🍰🍒 @DIOR迪奥 #DiorCigale# https://m.weibo.cn/detail/5292681355331545 || [post 1026441] 迪丽热巴 致各位爱丽丝们： 很遗憾地告知大家，因不可抗力因素，@Dear-迪丽热巴 目前已确定无法于法国巴黎时间3月3日抵达巴黎，故不得不将缺席此次@DIOR迪奥 二零二六秋冬大秀。在此，我们谨代表热巴本人及团队，向迪奥以及所有期待着热巴并做了各种充分应援准备的朋友们，致以最诚挚的歉意， ...全文 https://m.weibo.cn/detail/5272383340413162 || [post 270476] #迪丽热巴邓为迪奥生图# 今日，迪丽热巴、邓为亮相同品牌活动，现场人气火爆，生图状态优越！谁的造型更吸引你呢 网页链接 https://m.weibo.cn/detail/5292695004382303 || [post 160647] 聚焦#迪奥全球品牌大使迪丽热巴# @Dear-迪丽热巴 为南京德基广场迪奥甜品主题限时精品店开幕的试装准备时刻。优雅造型来自迪奥女装、男装及高级订制系列创意总监乔纳森•安德森(Jonathan Anderson)设计的迪奥二零二六秋季系列。 DIOR迪奥的微博视频 https://m.weibo.cn/detail/5293115495680963 || [post 73339] #迪奥全球品牌大使迪丽热巴# @Dear-迪丽热巴 漫步于南京德基广场迪奥甜品主题限时精品店，探索迪奥的多元美学世界。 https://m.weibo.cn/detail/5293171539711525
幸运咖《相信就幸运》大片,5144857,4901391,243466,290,22,[post 4808243] 《相信就幸运》，幸运大片首发来啦！ 一杯咖啡，开始一天的幸运奇遇 我们看见热烈张扬的态度，也看见勇敢尝试的从容 幸运，看似是命运眷顾的偶然，其实是用心打磨的必然 相信幸运的力量，让生活充满无限可能 希望能把这份幸运，传递给屏幕前的每个你~幸运咖的微博视频 ...全文 https://m.weibo.cn/detail/5289340248260767 || [comment 30545] 恭喜@Dear-迪丽热巴 解锁全新代言🎊🎊🎊迪丽热巴携手幸运咖☕，颜值与品质完美契合，品味匠心好咖，接住满满好运🎁，奔赴每一个闪闪发光的日常💞[/cp] https://m.weibo.cn/detail/5289340248260767 || [comment 25700] 哇哦和热巴一起代言幸运咖好棒好棒 https://m.weibo.cn/detail/5289340248260767 || [comment 24114] 恭喜迪丽热巴成为幸运咖臻选咖啡全球品牌代言人 每天一杯咖啡 就选幸运咖#幸运咖臻选咖啡全球代言人迪丽热巴# https://m.weibo.cn/detail/5289340248260767 || [comment 22608] 恭喜@Dear-迪丽热巴 解锁全新代言🎊🎊🎊迪丽热巴携手幸运咖☕，颜值与品质完美契合，品味匠心好咖，接住满满好运🎁，奔赴每一个闪闪发光的日常💞 https://m.weibo.cn/detail/5289340248260767
爱丽丝与热巴的粉丝双向奔赴,4681918,4479802,202116,2932,301,[post 218981] 致爱丽丝们： 近期，关于大家对工作室工作提出的意见和想法，工作室已认真阅读，并在内部对大家的反馈和建议展开了细致的沟通与探讨。目前，对大家重点关心的问题回复如下： 1. 关于其他平台的运营，工作室会积极拓展，如ins将列在工作计划内，后续会进行更新。 2. 关于造型，不排斥并且也会推 ...全文 https://m.weibo.cn/detail/4916502577023434 || [post 180663] #杨紫后援会集体辞职解散重组# 杨紫后援会回应关注迪丽热巴超话后，宣布集体辞职，解散重组：“很感谢一直以来紫米对于我们的帮助和包容，对于曾经没能做好的我们向紫和紫米们道歉，未来祝紫和紫圈都越来越好。 ” https://m.weibo.cn/detail/5288236174018483 || [post 125689] 迪丽热巴 是一则记录小迪@Dear-迪丽热巴 弹奏《致爱丽丝》的实拍🎶 祝大家晚安～ 嘉行迪丽热巴工作室的微博视频 https://m.weibo.cn/detail/4938390447063756 || [post 83774] 迪丽热巴 📝 爱丽丝们准备好了嘛「亲密度小测试」正式上线！在本条微博的评论区写下你的正确答案，就有机会获得小迪@Dear-迪丽热巴 准备的亲笔悄悄话💌 💡温馨提示：爱丽丝们要认真审题并按照问题顺序作答哦，楼中楼、错答漏答均不算哦～ 💞迪迪办祝大家好运 https://m.weibo.cn/detail/4932556111743050 || [post 80172] 🍉🍉迪丽热巴1.22飞✈️喀什，要参加今年春晚xj分会场，爱丽丝又幸福了 https://m.weibo.cn/detail/4989462288797958
乔晶晶与荣耀系记忆,4594724,4090457,504267,34,37,[post 4030690] 今晚荣耀大结局了，非常开心能和大家一起度过这个追剧的夏天，晶晶也在平行世界中拥有了美好的结局。从中学的青涩暗恋，到携手步入婚姻殿堂，晶晶和于途完成了一场属于彼此的双向奔赴，美好且热烈的旅程。 我们一起陪伴乔晶晶共情着她的美好追寻，一起喜欢着她的可爱调皮、一起欣赏着她的勇敢直率。 在 ...全文 https://m.weibo.cn/detail/4673469763816437 || [comment 82054] 你说“要做随处可见的乔晶晶，要做一直敬业的女明星”姐姐已经实现这句话啦，有很多人认可你的表演，在轻轨上会看到有人看荣耀，刷别的社交软件能看到放着荣耀的背景。现在晶晶要回到书里了，虽然不舍但还是要和她说一句再见啦乔晶晶 https://m.weibo.cn/detail/4673469763816437 || [comment 60120] 希望晶晶和迪迪都能一直幸福。你们是夜空中最闪亮的星 https://m.weibo.cn/detail/4673469763816437 || [comment 53828] 乔晶晶很棒！热巴好棒！ https://m.weibo.cn/detail/4673469763816437 || [comment 45889] 再见乔晶晶 迪迪公主也要在自己的世界里闪闪发光 https://m.weibo.cn/detail/4673469763816437
放空时刻CCD/日常营业随拍,2820684,2772679,48005,173,30,[post 2121158] 放空时刻很G∞d🎧😊 （补一些没完成的ccd ahhhh https://m.weibo.cn/detail/5291284362431311 || [post 403802] 站在春天里向夏天打了个招呼👋✌🏻#一起过五一# https://m.weibo.cn/detail/5293766480237286 || [post 65026] 迪丽热巴 随机掉落All black的甜酷姐姐@Dear-迪丽热巴 🖤 https://m.weibo.cn/detail/5291287408281858 || [post 58773] 迪丽热巴 随拍掉落！姐姐@Dear-迪丽热巴 就这样把自己裹成小团子🫳 https://m.weibo.cn/detail/5293768841629583 || [post 38592] 迪丽热巴 美好悄然酝酿静待纱影褪去，遇见姐姐@Dear-迪丽热巴 的甜蜜时刻✨ https://m.weibo.cn/detail/5292683849371367
白日提灯贺思慕/万灵之主/女鬼鬼王记忆,2482912,2367977,114935,2009,502,[post 78891] 迪丽热巴 🔛#贺思慕的五感体验卡# 王座之上，执掌生死。 贺思慕@Dear-迪丽热巴 提灯而来，洞悉人间未知事。#白日提灯##迪丽热巴贺思慕##白日提灯定档0328# https://m.weibo.cn/detail/5278578833883244 || [post 75414] #白日提灯贺思慕万灵之主特辑# 是执掌归墟的万灵之主，身处无感孤绝之境，却亦向往人间鲜活。 无情表象下，藏着兼护两界的柔软本心。 领衔主演：@Dear-迪丽热巴 3月28日起，#白日提灯# @腾讯视频 全网独播！ 腾讯预约：网页链接 微博预约：网页链接 白日提灯官微的微博视频 https://m.weibo.cn/detail/5279940612196936 || [post 66717] 迪丽热巴 😍#贺思慕的五感体验卡# 欢迎收看「贺思慕·美妆博主版」之“鬼王”是如何诞生的vlog 👀～ 3月28日12:00 ，路上遇到这样的姐姐@Dear-迪丽热巴 记得快点回家！#白日提灯# #迪丽热巴贺思慕# 嘉行迪丽热巴工作室的微博视频 https://m.weibo.cn/detail/5280368261596736 || [post 66418] 迪丽热巴🔛#贺思慕的五感体验卡# 寒鸦掠夜，血色染红衣。贺思慕@Dear-迪丽热巴 垂眸间，世间万物尽皆俯首。#白日提灯##迪丽热巴贺思慕# 嘉行迪丽热巴工作室的微博视频 https://m.weibo.cn/detail/5278937422764776 || [post 62197] -𝟐𝟎𝟐𝟔𝟎𝟑𝟐𝟎 𝐃𝐢𝐨𝐫 赴约🖤@Dear-迪丽热巴 ·#今日星拍放送# ·#迪丽热巴 女王回归# ·#让迪丽热巴演女鬼的简直是天才# HotBalloon_迪丽热巴的微博视频 https://m.weibo.cn/detail/5278616466230011
生日与生贺/小小迪超时空生日派对,673565,612033,61532,106,144,[post 163722] 迪丽热巴 🎁 #热巴与小小迪的超时空生日派对# 【惊喜party全纪录】来袭~ 童年照的回忆时间|生日礼物开箱惊喜连连|爱丽丝专属十问十答|端午节祝福彩蛋🈶 这不仅是一场轻松、欢乐、温情的派对，也是热巴与小小迪@Dear-迪丽热巴 送给爱丽丝们的真诚与感动#迪丽热巴0603生日快乐# ...全文 https://m.weibo.cn/detail/4776341105016896 || [post 79227] 迪丽热巴 🎞️ #迪丽热巴0603生日快乐# 迪迪办携生日全纪录来咯 六月的风吹来夏日，美好被时光收藏🥰 爱丽丝们的心里话小迪@Dear-迪丽热巴 都听到啦🍒 迪迪办也想和小迪说：我们一直在你身后哦！ 带着这份爱与陪伴，一起奔向未来吧～ 关键词提示📌：一切都在很“尴尬”地 ...全文 https://m.weibo.cn/detail/4909242761351159 || [post 56714] #迪丽热巴的生日微博评论区#今天是迪丽热巴的生日，5555微博评论区祝福简直破防了 这不就是双向奔赴嘛，不得不说阿丝们真的太棒太用心啦#ip风向标# https://m.weibo.cn/detail/4776211202704755 || [post 37523] #迪丽热巴0603生日快乐# 亲爱的热巴 这是一份笨拙的告白 没有过于华丽的词藻修饰 但却有无数格外真诚的呢喃 愿你生日快乐 永远快乐 愿你平安顺遂 自由如风 无论你在哪个转角回头 爱丽丝永远在你身后 请接收来自千千万万爱丽丝的祝福 带着热爱的力量开启新的一岁吧！ @Dear-迪丽热巴 ...全文 https://m.weibo.cn/detail/5040975519416433 || [post 29102] #迪丽热巴0603生日快乐# 你永远可以相信迪丽热巴！从天真可爱白凤九、坚韧无畏李长歌到闪闪发光乔晶晶、自由洒脱纪云禾，热巴用爱与真诚，将每个角色演绎得鲜活明媚。 娇韵诗祝我们的代言人@Dear-迪丽热巴 生日快乐！愿你平安喜乐，万事胜意，每天都被爱意包围！爱丽丝宝宝们快来开启小娇精心设计的热 ...全文 https://m.weibo.cn/detail/4776062937992897
枭起青壤/疯刀药戏/演员突破记忆,661351,624258,37093,153,81,[post 221096] #枭起青壤夜枭搭子双向奔赴# 你的夜枭搭子聂九罗准时赴约！速戳#枭起青壤# 直播间，看我如何拿“聂”搭子团~#剧星驾到# Dear-迪丽热巴的微博直播 https://m.weibo.cn/detail/5236900006200705 || [post 41423] #迪丽热巴 我有点不认识你了# 迪丽热巴《枭起青壤》这段疯刀药戏的细腻度，真的让人起鸡皮疙瘩！从松弛状态到被药物裹挟的“非人感”，迪丽热巴的切换像呼吸般自然：先是指尖微攥的隐忍脆弱，抬眼瞬间眼底疯劲骤起，带血的笑里混着狠戾，连眉梢的弧度都裹着失控的张力。 没有浓妆加持，全靠微表情撑满 ...全文 https://m.weibo.cn/detail/5241150504962745 || [post 32067] #迪丽热巴 谁说演员不能看镜头# 迪丽热巴的眼神戏好有感觉 沉浸式的表演出每一个角色的不同 虽然在看着镜头但一点也不会觉得出戏 用心对话心！这就是好演员的魅力 #非正式跨年派对##2025娱乐年终盘点# 青春摸娱的微博视频 https://m.weibo.cn/detail/5243466619555971 || [post 23162] 迪丽热巴 青壮年艺术家 笑吐了🆘我怎么才刷到这个视频……《枭起青壤》的导演在台上发言时由于紧张把迪丽热巴和陈星旭形容为“德艺双馨的青壮年艺术家”。。。 迪丽热巴：青壮年？我吗？？？（wuli巴忙活一天打开手机天塌了🙉 https://m.weibo.cn/detail/5119792709370676 || [post 19737] #迪丽热巴 绝美ending# 被迪丽热巴笑不活了，聂九罗“最后就是这样，绝美ending”，摆好pose，大喘气，然后转过头，微笑着点头wink，哈哈哈哈，太懂了吧，太好笑了；迪丽热巴倒在地上，吐槽：“叫不醒一个装睡的人”，果然是剧组欢乐多啊 #枭起青壤# 花絮 ...全文 https://m.weibo.cn/detail/5234326759015158
红毯神图与高定造型,648250,566788,81462,193,117,[post 93941] 迪丽热巴 庭院一隅泛起油画柔光，玫瑰于指尖绽放🌹南法的香气，落在裙摆上就成了诗🌸跟随@Dear-迪丽热巴 穿香而行，共赴这场轻盈芬香之约～ 化妆：@王崇HUATIANQI-BEAUTY 发型：@方可frank 摄影：@MomentStudio- 造型：@闵塔鲨 @theRayback https://m.weibo.cn/detail/5279381217350964 || [post 68607] 迪丽热巴 🕶️ 镜面效果，风格自有答案。@Dear-迪丽热巴 重构视线焦点，在冷调气场与锋利轮廓之间，步入梦「镜」之界，开启一场关于自我表达的风格漫游✨ 化妆：@金鹤龙 发型：@安城AnX_ 摄影：@MomentStudio- 造型：@闵塔鲨 @theRayback https://m.weibo.cn/detail/5287372963188343 || [post 54980] 今日给迪丽热巴 化的燕尾眼线妆，线下更美！ 化妆：王亚飞 #迪丽热巴##美丽觉醒计划##春日尝新妆# https://m.weibo.cn/detail/5292691165547282 || [post 43187] 家人们，谁还没被热巴的红毯造型美到过！“红毯闪耀605天，我的能量补给站是Swisse”，难怪状态一直这么能打！想get同款好状态就上京东APP搜【健康免单】，送迪丽热巴同款！宠粉女王这次联合@京东健康 带来11.11福利！明星免单天天送+千元补贴日日领。赶紧戳 网页链接 ，错过拍大腿！ ...全文 https://m.weibo.cn/detail/5222702962183625 || [post 41657] 迪丽热巴 🩵 撷一抹清蓝，雕琢利落廓形。于经典之上，重构当下表达。@Dear-迪丽热巴 在流动与结构之间，勾勒当代优雅的多面性。 化妆：@王亚飞Yafei 发型：@NANBEAUTY金刚 摄影：@刘任捷photographer https://m.weibo.cn/detail/5292723745593166
