memory_point,kind,likes,reason,author,text,url
演员成长与角色群像评价,post,88482,粉丝点评/记忆表达明确,我是一个超可爱,迪丽热巴，一位敬业的好演员，对于角色不同的把控体现她专业的水准，正是她对于每个角色的认真，夯实基础，成就了今天的她，出道以来一步步成长，演技不断提升同时全面开花，成为90后当红小花，是我们共同守护的珍宝💝,https://m.weibo.cn/detail/4488672449427505
演员成长与角色群像评价,post,88482,粉丝点评/记忆表达明确,我是一个超可爱,迪丽热巴，一位敬业的好演员，对于角色不同的把控体现她专业的水准，正是她对于每个角色的认真，夯实基础，成就了今天的她，出道以来一步步成长，演技不断提升同时全面开花，成为90后当红小花，是我们共同守护的珍宝💝，青年演员迪丽热巴未来可期,https://m.weibo.cn/detail/4488672352924540
演员成长与角色群像评价,post,88482,粉丝点评/记忆表达明确,我是一个超可爱,迪丽热巴，一位敬业的好演员，对于角色不同的把控体现她专业的水准，正是她对于每个角色的认真，夯实基础，成就了今天的她，出道以来一步步成长，演技不断提升同时全面开花，成为90后当红小花，是我们共同守护的珍宝💝，青年演员迪丽热巴未来可期💖,https://m.weibo.cn/detail/4488672311367099
乔晶晶与《你是我的荣耀》入坑记忆,comment,82054,粉丝点评/记忆表达明确,迪妹的毛裤,你说“要做随处可见的乔晶晶，要做一直敬业的女明星”姐姐已经实现这句话啦，有很多人认可你的表演，在轻轨上会看到有人看荣耀，刷别的社交软件能看到放着荣耀的背景。现在晶晶要回到书里了，虽然不舍但还是要和她说一句再见啦乔晶晶,https://m.weibo.cn/detail/4673469763816437
行走的油画/神女美貌出圈,post,79423,粉丝点评/记忆表达明确,我的追星大号,#迪丽热巴 行走的油画# 对行走的油画有了概念💘 迪丽热巴，美得很直接 #ip风向标# #微博之夜# 我的追星大号的微博视频,https://m.weibo.cn/detail/4990207487120582
李长歌与《长歌行》角色记忆,post,74819,粉丝点评/记忆表达明确,诶诶诶别来沾边,剧粉 谁不是剧粉 我先来我是因为长歌行才粉上迪丽热巴的2022年偶然间看到长歌行这部剧看完以后久久不能忘怀 她把长歌真的演出来了 我真的很喜欢她演的李长歌 有勇有谋不会因为家仇而被蒙蔽双眼是会顾全大局是大唐的永宁郡主长歌行是一部很好很好的剧,https://m.weibo.cn/detail/4968007101059105
白凤九与三生三世情怀,post,44141,粉丝点评/记忆表达明确,饼饼梅困,、核心事实：短期录制与播出效果的巨大反差 录制模式与时长 迪丽热巴于2017年以常驻嘉宾身份代班加入《奔跑吧》第五季，实际拍摄于2月至4月间分散完成，累计仅12个工作日，覆盖上海、杭州、大连等多地。节目组通过拆分素材（如单场游戏互动镜头复用至多期）、强化氛围（BGM/慢镜头特写）及模糊时间线，将短期素材延展为近3个月的播出内容。 高光表现与个人积累 尽管录制短暂，迪丽热巴贡献了多个经典场面：异域风转圈舞惊艳亮相、怕水仍挑战水上项目、咬牙,https://m.weibo.cn/detail/5292100997612823
红毯神图与高定封神造型,post,41565,粉丝点评/记忆表达明确,努力追上那颗星星,#时尚健康封面人物# #迪丽热巴隆冬瑞雪大片# 岁末年初，纷杂的事如潮水般涌来，迪丽热巴超话丝毫不觉凌乱，有岿然不动的姿态。在冬奥会倒计时中，春节也在临近，说的事便多了几许温情。听她讲人生成长时期的往事，有些意外，又有些新发现。@Dear-迪丽热巴 第5次登临@时尚健康 封面，仍然保持着极为敏锐的触感，一些微不足道的事，她仍能说出细腻的情绪。与此同时，她又保持钝感，回忆像一只透明的漏斗，自动过滤坚硬的沙砾，留下的都是美好。此刻，冬日严,https://m.weibo.cn/detail/4720600818122970
花少/你好星期六等综艺片刻,post,39889,粉丝点评/记忆表达明确,雪碧三分饱,迪丽热巴：一些当年就好奇的问题在六七年后突然窜入脑海 #花儿与少年# #迪丽热巴花儿与少年##迪丽热巴 当年好奇的问题突然窜入脑海# 雪碧三分饱的微博视频,https://m.weibo.cn/detail/4960761240617504
白日提灯贺思慕/女鬼鬼王记忆,post,36615,粉丝点评/记忆表达明确,玉树临风可爱鸡,#向全世界安利我担# 喜欢这个万灵之主贺思慕#迪丽热巴# ​,https://m.weibo.cn/detail/5257891881685400
