category,product,source_url,observed_price_or_status,image_url,element_style,BtD_takeaway
服装-连衣裙,Rebel Romance Celestial Midi Stretch Smock Dress,https://www.rebelromance.co.uk/products/rebel-romance-celestial-midi-stretch-smock-dress,"£44.99 search result / metadata $62","http://www.rebelromance.co.uk/cdn/shop/files/celestialmid5-2_1200x1200.jpg?v=1769706192","black base with golden suns moons stars all-over print","Use lower-density placement and softer base colors to avoid witchy sameness"
服装-连衣裙,Redbubble Sun Moon Star Tarot A-Line Dress,https://www.redbubble.com/i/dress/Sun-Moon-Star-Tarot-by-phantastique/15322942.V4WQ8,"$60.28 search result","","tarot-style celestial all-over graphic","Avoid direct tarot framing unless BtD wants occult positioning"
服装-连衣裙,SHEIN Sun Moon Star Pattern Dress,https://m.shein.com/us/Skirt%2C-Faith%2C-Sun-Moon-Star-Pattern-Print-Casual-Vest-Dress%2C-Fashionable-And-Versatile-p-445605804.html,"$12.58 search result","","fast-fashion casual random celestial print","Compete through material story and original motif, not print alone"
服装-T恤,Pacsun OYSTER EXPEDITION The Sun Moon & Stars T-Shirt,https://www.pacsun.com/oyster-expedition/the-sun-moon-stars-t-shirt-0097519270135.html,"$28.69 search result","","vintage yellow tee with front/back graphics","Good structure: small chest mark plus larger back artwork"
服装-T恤,ZAFUL Celestial Sun Moon Star Graphic T-shirt,https://www.zaful.com/zaful-sun-moon-star-print-graphic-t-shirt-puid_4775299.html,"$17.99 metadata","https://gloimg.zafcdn.com/zaful/pdm-product-pic/Clothing/2021/04/26/goods-first-img/1623384683567768431.jpg?impolicy=high&imbypass=true","black tee, retro celestial print","Use as sameness benchmark; BtD should go lighter and more poetic"
服装-家居服,Target Sun Moon & Stars Women's Black Sleep Pajama Pants,https://www.target.com/p/-/A-1000118685,"$19.99 search result / out of stock","https://target.scene7.com/is/image/Target/GUEST_681575be-912d-4f1b-852b-6ce01fe591ee","sleepwear with celestial graphic","Sleep products naturally fit star/sun storytelling"
生活-眼镜,MiróShop Sunglasses L'Etoile matinale,https://miroshop.fmirobcn.org/en/glasses/1390-ulleres-de-sol-etoile-matinale.html,"€33 search result","","artwork-derived sunglasses from Miró Morning Star","Develop lens cloth, case, temple studs, not only printed frame"
生活-包袋,Solasta Co Sun Moon & Stars Tote Bag,https://solastacompany.com/products/sun-moon-stars-tote-bag,"$21 metadata","http://solastacompany.com/cdn/shop/files/all-over-print-tote-bag-yellow-15x15-front-6670d288b981a.jpg?v=1719694530","yellow tote with playful celestial all-over print","Yellow base can work if muted into cream/ochre"
生活-包袋,Shoporango Sun Moon & Stars Tote,https://www.shoporango.com/product-page/sun-moon-stars-tote,"£16 search result","","hand-painted cotton tote with burnt orange suns bronze moons olive stars","Strong reference for handmade warmth"
生活-包袋,ArtWow Sun Moon & Stars Cosmetic Bag,https://artwow.co/products/fashion/cosmetic-bag/inspiredimages/sun-moon-stars,"£14.99 search result","","linen zip cosmetic bag with cosmic artwork","Small pouches are low-risk print testing SKUs"
