rank,pic_id,total_likes,post_likes,comment_likes,post_like_source_count,comment_source_count,mention_post_count,source_note_count,label,label_notes,media_owner_user_id,media_owner_nickname,media_owner_verified_type,width,height,large_url,url,sample_note_url,sample_text,source_keywords,top_evidence,image_name
1,659ded68ly1fuudowp4qsj23gg2ayb2f,275,275,0,1,0,1,1,person,real person performance photo,1704848744,易川easy,-1,2048,1365,https://wx1.sinaimg.cn/mw2000/659ded68ly1fuudowp4qsj23gg2ayb2f.jpg,https://wx1.sinaimg.cn/orj360/659ded68ly1fuudowp4qsj23gg2ayb2f.jpg,https://m.weibo.cn/detail/4279560780164145,黄婷婷#黄婷婷0908生日快乐# 【180728 第五届年度总决选】返图9P 跳动的世界里找你的频率 @SNH48-黄婷婷,,[strict_post_ref_p9 275 strong_image_keyword] 黄婷婷#黄婷婷0908生日快乐# 【180728 第五届年度总决选】返图9P 跳动的世界里找你的频率 @SNH48-黄婷婷 https://m.weibo.cn/detail/4279560780164145,top01_659ded68ly1fuudowp4qsj23gg2ayb2f.jpg
2,91e4dd50gy1fjv0f4oreij20e50jvtan,192,192,0,1,0,1,1,person,real person body/legs photo,2447695184,下颌线请回家,-1,509,715,https://wx3.sinaimg.cn/mw2000/91e4dd50gy1fjv0f4oreij20e50jvtan.jpg,https://wx3.sinaimg.cn/orj360/91e4dd50gy1fjv0f4oreij20e50jvtan.jpg,https://m.weibo.cn/detail/4155629377536128,"借着上一条微博东风来瞎吹吹黄婷婷的腿吧，前天和朋友讨论黄婷婷的腿。说htt的腿不是一麻溜瘦下来然后大腿小腿分不清的竹竿那种。 她腿瘦，但是不是干瘦,是会觉得好看、纤细，但不会觉得不健康。 “htt的小腿纤细但往上到大腿又圆润有弧度” 然后为了看她到底是不是小腿比大腿长。。。我做了后三张图 ...全文",,"[strict_post_ref_p3 192 explicit_image+aesthetic_or_memory] 借着上一条微博东风来瞎吹吹黄婷婷的腿吧，前天和朋友讨论黄婷婷的腿。说htt的腿不是一麻溜瘦下来然后大腿小腿分不清的竹竿那种。 她腿瘦，但是不是干瘦,是会觉得好看、纤细，但不会觉得不健康。 “htt的小腿纤细但往上到大腿又圆润有弧度” 然后为了看她到底是不是小腿比大腿长。。。我做了后三张图 ...全文 https://m.weibo.cn/detail/4155629377536128",top02_91e4dd50gy1fjv0f4oreij20e50jvtan.jpg
3,006jCwZAly1g7wgj55z2pj30u00u0tco,180,180,0,1,0,1,1,person,polaroid real person,5786730666,思绪万千0908_,-1,1080,1080,https://wx4.sinaimg.cn/mw2000/006jCwZAly1g7wgj55z2pj30u00u0tco.jpg,https://wx4.sinaimg.cn/orj360/006jCwZAly1g7wgj55z2pj30u00u0tco.jpg,https://m.weibo.cn/detail/4426909028833832,黄婷婷 我：婷婷，你酷一点 TT:好 拍完之后，说了谢谢，然后婷婷给我很甜的说了声拜拜 啊，我死了，终于和你有了第一张合照，外地粉丝不容易呀,,[strict_single_image_post 180 strong_image_keyword] 黄婷婷 我：婷婷，你酷一点 TT:好 拍完之后，说了谢谢，然后婷婷给我很甜的说了声拜拜 啊，我死了，终于和你有了第一张合照，外地粉丝不容易呀 https://m.weibo.cn/detail/4426909028833832,top03_006jCwZAly1g7wgj55z2pj30u00u0tco.jpg
4,006zjVIaly1g5jba4aeumj31rh2js7wh,154,154,0,1,0,1,1,person,real person performance photo,6018718830,LeakyZero,-1,2048,2961,https://wx2.sinaimg.cn/mw2000/006zjVIaly1g5jba4aeumj31rh2js7wh.jpg,https://wx2.sinaimg.cn/orj360/006zjVIaly1g5jba4aeumj31rh2js7wh.jpg,https://m.weibo.cn/detail/4400219381183679,【总选返图】 黄婷婷 夏了夏天 学姐好 @SNH48-黄婷婷,,[strict_single_image_post 154 strong_image_keyword] 【总选返图】 黄婷婷 夏了夏天 学姐好 @SNH48-黄婷婷 https://m.weibo.cn/detail/4400219381183679,top04_006zjVIaly1g5jba4aeumj31rh2js7wh.jpg
5,006cv1DVly1g2vh8jw7g6j31ua39tu1a,137,137,0,1,0,1,1,person,real person airport photo,5681507511,光盛於璟,-1,2048,3640,https://wx1.sinaimg.cn/mw2000/006cv1DVly1g2vh8jw7g6j31ua39tu1a.jpg,https://wx1.sinaimg.cn/orj360/006cv1DVly1g2vh8jw7g6j31ua39tu1a.jpg,https://m.weibo.cn/detail/4370180647780529,黄婷婷 🙊 #黄婷婷我家那小子# 20190509.剧场返图6p 是酷帅的崽@SNH48-黄婷婷 @咸味胡萝北- 老父亲来康康【逐渐变红🙊,,[strict_post_ref_p6 137 strong_image_keyword] 黄婷婷 🙊 #黄婷婷我家那小子# 20190509.剧场返图6p 是酷帅的崽@SNH48-黄婷婷 @咸味胡萝北- 老父亲来康康【逐渐变红🙊 https://m.weibo.cn/detail/4370180647780529,top05_006cv1DVly1g2vh8jw7g6j31ua39tu1a.jpg
6,005URZvXgy1g5hqlw5xvfj32tc480e82,129,129,0,1,0,1,1,person,real person performance photo,5421006825,RYOHEY-09,-1,2048,3072,https://wx1.sinaimg.cn/mw2000/005URZvXgy1g5hqlw5xvfj32tc480e82.jpg,https://wx1.sinaimg.cn/orj360/005URZvXgy1g5hqlw5xvfj32tc480e82.jpg,https://m.weibo.cn/detail/4399725895344333,黄婷婷 190727 演唱会 返图3 #SNH48年度总决选##黄婷婷#,,[strict_post_ref_p3 129 strong_image_keyword] 黄婷婷 190727 演唱会 返图3 #SNH48年度总决选##黄婷婷# https://m.weibo.cn/detail/4399725895344333,top06_005URZvXgy1g5hqlw5xvfj32tc480e82.jpg
7,007Xg5Tsly1i78q740ml3j30jg0objuj,122,122,0,1,0,1,1,person,real person screenshot,7288569554,Bamboo-07,0,700,875,https://wx2.sinaimg.cn/mw2000/007Xg5Tsly1i78q740ml3j30jg0objuj.jpg,https://wx2.sinaimg.cn/orj360/007Xg5Tsly1i78q740ml3j30jg0objuj.jpg,https://m.weibo.cn/detail/5231949386091995,黄婷婷 考古看到这张笑了半天… 咋那么萌一只杵在那！！🥺😋,,[strict_single_image_post 122 explicit_image+aesthetic_or_memory] 黄婷婷 考古看到这张笑了半天… 咋那么萌一只杵在那！！🥺😋 https://m.weibo.cn/detail/5231949386091995,top07_007Xg5Tsly1i78q740ml3j30jg0objuj.jpg
8,005URZvXgy1g2aeixekbhj356o3ggkjm,120,120,0,1,0,1,1,person,real person event photo,5421006825,RYOHEY-09,-1,2048,1365,https://wx1.sinaimg.cn/mw2000/005URZvXgy1g2aeixekbhj356o3ggkjm.jpg,https://wx1.sinaimg.cn/orj360/005URZvXgy1g2aeixekbhj356o3ggkjm.jpg,https://m.weibo.cn/detail/4363573008024814,190413 偶像运动会 返图3 笑颜一番黄婷婷 @SNH48-黄婷婷 #SNH48偶像运动会#,,[strict_post_ref_p3 120 strong_image_keyword] 190413 偶像运动会 返图3 笑颜一番黄婷婷 @SNH48-黄婷婷 #SNH48偶像运动会# https://m.weibo.cn/detail/4363573008024814,top08_005URZvXgy1g2aeixekbhj356o3ggkjm.jpg
9,005ttkF7ly1ibmz1kdpbzj30zb0rb7ck,107,107,0,1,0,1,1,person,real person polaroid,5016168845,Halophile_,0,1271,983,https://wx1.sinaimg.cn/mw2000/005ttkF7ly1ibmz1kdpbzj30zb0rb7ck.jpg,https://wx1.sinaimg.cn/orj360/005ttkF7ly1ibmz1kdpbzj30zb0rb7ck.jpg,https://m.weibo.cn/detail/5281552599620178,黄婷婷 / #黄婷婷无限超越班# 拍立得修复 - 很美的上镜脸 大家多多去优酷视频支持新综艺吧～ @黄婷婷 @无限超越班,,[strict_single_image_post 107 explicit_image+aesthetic_or_memory] 黄婷婷 / #黄婷婷无限超越班# 拍立得修复 - 很美的上镜脸 大家多多去优酷视频支持新综艺吧～ @黄婷婷 @无限超越班 https://m.weibo.cn/detail/5281552599620178,top09_005ttkF7ly1ibmz1kdpbzj30zb0rb7ck.jpg
10,bcf06cf7gy1ftwz3g0a2xj20ku112npd,98,98,0,1,0,1,1,person,phone wallpaper with real person,3169873143,黄焖鸡不吃皮,-1,750,1334,https://wx1.sinaimg.cn/mw2000/bcf06cf7gy1ftwz3g0a2xj20ku112npd.jpg,https://wx1.sinaimg.cn/orj360/bcf06cf7gy1ftwz3g0a2xj20ku112npd.jpg,https://m.weibo.cn/detail/4269088027230415,黄婷婷 抄袭一下其他朋友，我们今天的mc话题是：你的手机壁纸是什么？,,[strict_single_image_post 98 strong_image_keyword] 黄婷婷 抄袭一下其他朋友，我们今天的mc话题是：你的手机壁纸是什么？ https://m.weibo.cn/detail/4269088027230415,top10_bcf06cf7gy1ftwz3g0a2xj20ku112npd.jpg
