rank,cluster_id,representative_pic_id,pic_ids,pic_count,total_likes,post_likes,comment_likes,post_like_source_count,comment_source_count,core_total_likes,core_post_likes,core_comment_likes,core_source_count,volume_source_count,source_note_count,width,height,large_url,url,sample_note_url,sample_text,source_keywords,top_evidence,representative_local_path,image_name
1,vc0001,6816b8e1ly1fjttrh096tj20go11y0xd,6816b8e1ly1fjttrh096tj20go11y0xd,1,809,809,0,1,0,809,809,0,1,0,1,600,1366,https://wx4.sinaimg.cn/mw2000/6816b8e1ly1fjttrh096tj20go11y0xd.jpg,https://wx4.sinaimg.cn/orj360/6816b8e1ly1fjttrh096tj20go11y0xd.jpg,https://m.weibo.cn/detail/4155256805871427,#黄婷婷##黑夜女神黄婷婷# 黑夜女神-SNH48-黄婷婷 [每日一画]你最棒了!!!!!!!!!!!!!!! @SNH48-黄婷婷,黄婷婷 黑夜女神,[single_image_post 809 strong_image_keyword] #黄婷婷##黑夜女神黄婷婷# 黑夜女神-SNH48-黄婷婷 [每日一画]你最棒了!!!!!!!!!!!!!!! @SNH48-黄婷婷 https://m.weibo.cn/detail/4155256805871427,data/weibo_huangtingting_image_assets/analysis/top_images/files/015_6816b8e1ly1fjttrh096tj20go11y0xd.jpg,top01_vc0001_6816b8e1ly1fjttrh096tj20go11y0xd.jpg
2,vc0002,6816b8e1ly1g5h3aq4cn6j20ku0kugpq,6816b8e1ly1g5h3aq4cn6j20ku0kugpq,1,743,743,0,2,0,743,743,0,2,0,2,750,750,https://wx4.sinaimg.cn/mw2000/6816b8e1ly1g5h3aq4cn6j20ku0kugpq.jpg,https://wx4.sinaimg.cn/orj360/6816b8e1ly1g5h3aq4cn6j20ku0kugpq.jpg,https://m.weibo.cn/detail/4399523000408433,黄婷婷 [每日一画]我们小踢晚安 @SNH48-黄婷婷,,[single_image_post 668 strong_image_keyword] 黄婷婷 [每日一画]我们小踢晚安 @SNH48-黄婷婷 https://m.weibo.cn/detail/4399523000408433 || [single_image_post 75 strong_image_keyword] 黄婷婷#初心不改黄婷婷# 晚安啦，我们的宝贝@SNH48-黄婷婷 黄婷婷 [每日一画]我们小踢晚安 @SNH48-黄婷婷 https://m.weibo.cn/detail/4399523922854647,data/weibo_huangtingting_image_assets/analysis/top_images/files/046_6816b8e1ly1g5h3aq4cn6j20ku0kugpq.jpg,top02_vc0002_6816b8e1ly1g5h3aq4cn6j20ku0kugpq.jpg
3,vc0003,6816b8e1gy1g4pcizkllrj20jg0jgtc2,6816b8e1gy1g4pcizkllrj20jg0jgtc2,1,661,661,0,1,0,661,661,0,1,0,1,700,700,https://wx3.sinaimg.cn/mw2000/6816b8e1gy1g4pcizkllrj20jg0jgtc2.jpg,https://wx3.sinaimg.cn/orj360/6816b8e1gy1g4pcizkllrj20jg0jgtc2.jpg,https://m.weibo.cn/detail/4390826342338168,黄婷婷#黄婷婷我家那小子# [每日一画]我们大眼踢踢仔 @SNH48-黄婷婷,,[single_image_post 661 strong_image_keyword] 黄婷婷#黄婷婷我家那小子# [每日一画]我们大眼踢踢仔 @SNH48-黄婷婷 https://m.weibo.cn/detail/4390826342338168,data/weibo_huangtingting_image_assets/analysis/top_images/files/053_6816b8e1gy1g4pcizkllrj20jg0jgtc2.jpg,top03_vc0003_6816b8e1gy1g4pcizkllrj20jg0jgtc2.jpg
4,vc0004,656c5467gy1fm9hy9hfizj20xn0mfdug,656c5467gy1fm9hy9hfizj20xn0mfdug,1,642,642,0,1,0,642,642,0,1,0,1,1211,807,https://wx2.sinaimg.cn/mw2000/656c5467gy1fm9hy9hfizj20xn0mfdug.jpg,https://wx2.sinaimg.cn/orj360/656c5467gy1fm9hy9hfizj20xn0mfdug.jpg,https://m.weibo.cn/detail/4182738191387891,#黄婷婷##素手遮天黄婷婷# 浦东机场接机返图 很欢乐的气氛,黄婷婷 机场,[single_image_post 642 strong_image_keyword] #黄婷婷##素手遮天黄婷婷# 浦东机场接机返图 很欢乐的气氛 https://m.weibo.cn/detail/4182738191387891,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/001_656c5467gy1fm9hy9hfizj20xn0mfdug.jpg,top04_vc0004_656c5467gy1fm9hy9hfizj20xn0mfdug.jpg
5,vc0005,6816b8e1gy1gd9w7uf5a1j20jg0jg77b,6816b8e1gy1gd9w7uf5a1j20jg0jg77b,1,573,573,0,1,0,573,573,0,1,0,1,700,700,https://wx2.sinaimg.cn/mw2000/6816b8e1gy1gd9w7uf5a1j20jg0jg77b.jpg,https://wx2.sinaimg.cn/orj360/6816b8e1gy1gd9w7uf5a1j20jg0jg77b.jpg,https://m.weibo.cn/detail/4487542227017779,黄婷婷 [每日一画]是弹吉他踢！ @titi黄_,,[single_image_post 573 strong_image_keyword] 黄婷婷 [每日一画]是弹吉他踢！ @titi黄_ https://m.weibo.cn/detail/4487542227017779,data/weibo_huangtingting_image_assets/analysis/top_images/files/068_6816b8e1gy1gd9w7uf5a1j20jg0jg77b.jpg,top05_vc0005_6816b8e1gy1gd9w7uf5a1j20jg0jg77b.jpg
6,vc0006,6816b8e1gy1g11kqmhc2tj20jg0jgq5q,6816b8e1gy1g11kqmhc2tj20jg0jgq5q,1,542,542,0,1,0,542,542,0,1,0,1,700,700,https://wx1.sinaimg.cn/mw2000/6816b8e1gy1g11kqmhc2tj20jg0jgq5q.jpg,https://wx1.sinaimg.cn/orj360/6816b8e1gy1g11kqmhc2tj20jg0jgq5q.jpg,https://m.weibo.cn/detail/4349522668657990,黄婷婷 #倩碧iD大使黄婷婷# [每日一画]酷酷小踢 @SNH48-黄婷婷,,[single_image_post 542 strong_image_keyword] 黄婷婷 #倩碧iD大使黄婷婷# [每日一画]酷酷小踢 @SNH48-黄婷婷 https://m.weibo.cn/detail/4349522668657990,data/weibo_huangtingting_image_assets/analysis/top_images/files/072_6816b8e1gy1g11kqmhc2tj20jg0jgq5q.jpg,top06_vc0006_6816b8e1gy1g11kqmhc2tj20jg0jgq5q.jpg
7,vc0007,006fXe6Ogy1fo3rd5qxtbj315o0rs4qq,006fXe6Ogy1fo3rd5qxtbj315o0rs4qq 006ZvaeYly1i4aheq5c84j30u00jzae1,2,492,492,0,3,0,492,492,0,3,0,3,1500,1000,https://wx3.sinaimg.cn/mw2000/006fXe6Ogy1fo3rd5qxtbj315o0rs4qq.jpg,https://wx3.sinaimg.cn/orj360/006fXe6Ogy1fo3rd5qxtbj315o0rs4qq.jpg,https://m.weibo.cn/detail/4203508393768648,#黄婷婷# 180203 SNH48金曲大赏 返图9P@SNH48-黄婷婷,黄婷婷 神图 | 黄婷婷 绝美 | 黄婷婷 返图,[post_ref_p9 466 strong_image_keyword] #黄婷婷# 180203 SNH48金曲大赏 返图9P@SNH48-黄婷婷 https://m.weibo.cn/detail/4203508393768648 || [single_image_post 26 strong_image_keyword] 黄婷婷 求助。 想要这场光轨的其她神图，还有这张图是谁出的啊，太喜欢了。 https://m.weibo.cn/detail/5198646901474417 || [post_ref_p9 0 strong_image_keyword] #一心一意黄婷婷##一生有你黄婷婷#最后那张真的是绝了！！飞扬起的裙摆绝美绝赞！！还有“紫光”护佑犹如漫画中的酷帅场景棒呆！！ #黄婷婷# 180203 SNH48金曲大赏 返图9P@SNH48-黄婷婷 https://m.weibo.cn/detail/4203804263587075,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/002_006fXe6Ogy1fo3rd5qxtbj315o0rs4qq.jpg,top07_vc0007_006fXe6Ogy1fo3rd5qxtbj315o0rs4qq.jpg
8,vc0008,656c5467gy1fm9lp8fgvsj23hv2bxnpe,656c5467gy1fm9lp8fgvsj23hv2bxnpe,1,428,428,0,1,0,428,428,0,1,0,1,2048,1365,https://wx1.sinaimg.cn/mw2000/656c5467gy1fm9lp8fgvsj23hv2bxnpe.jpg,https://wx1.sinaimg.cn/orj360/656c5467gy1fm9lp8fgvsj23hv2bxnpe.jpg,https://m.weibo.cn/detail/4182770932046854,#黄婷婷##30天安利黄婷婷# 171208 浦东机场接机返图 @SNH48-黄婷婷,黄婷婷 机场,[single_image_post 428 strong_image_keyword] #黄婷婷##30天安利黄婷婷# 171208 浦东机场接机返图 @SNH48-黄婷婷 https://m.weibo.cn/detail/4182770932046854,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/003_656c5467gy1fm9lp8fgvsj23hv2bxnpe.jpg,top08_vc0008_656c5467gy1fm9lp8fgvsj23hv2bxnpe.jpg
9,vc0009,4c7f471cgw1f9ona3ct0aj21161jrx6q,4c7f471cgw1f9ona3ct0aj21161jrx6q,1,424,424,0,1,0,424,424,0,1,0,1,1338,2007,https://ww4.sinaimg.cn/mw2000/4c7f471cgw1f9ona3ct0aj21161jrx6q.jpg,https://ww4.sinaimg.cn/orj360/4c7f471cgw1f9ona3ct0aj21161jrx6q.jpg,https://m.weibo.cn/detail/4040788768141865,#李艺彤##黄婷婷# 11月11日 深圳 SNH48 2016猫女王加冕盛典 高清图9p,黄婷婷 高清,[post_ref_p9 424 strong_image_keyword] #李艺彤##黄婷婷# 11月11日 深圳 SNH48 2016猫女王加冕盛典 高清图9p https://m.weibo.cn/detail/4040788768141865,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/004_4c7f471cgw1f9ona3ct0aj21161jrx6q.jpg,top09_vc0009_4c7f471cgw1f9ona3ct0aj21161jrx6q.jpg
10,vc0010,7ab75438gy1ftterczhrnj20wq1f77wh,7ab75438gy1ftterczhrnj20wq1f77wh,1,413,413,0,1,0,413,413,0,1,0,1,1178,1843,https://wx3.sinaimg.cn/mw2000/7ab75438gy1ftterczhrnj20wq1f77wh.jpg,https://wx3.sinaimg.cn/orj360/7ab75438gy1ftterczhrnj20wq1f77wh.jpg,https://m.weibo.cn/detail/4267969784248074,黄婷婷 2018/7/28总选返图 三年里也算是见证了踢踢各方面的成长，今后也要继续朝着目标努力。@SNH48-黄婷婷,黄婷婷 总选 返图,[post_ref_p3 413 strong_image_keyword] 黄婷婷 2018/7/28总选返图 三年里也算是见证了踢踢各方面的成长，今后也要继续朝着目标努力。@SNH48-黄婷婷 https://m.weibo.cn/detail/4267969784248074,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_volume_10k/cluster_source_images/7ab75438gy1ftterczhrnj20wq1f77wh.jpg,top10_vc0010_7ab75438gy1ftterczhrnj20wq1f77wh.jpg
