rank,image_id,attributed_likes,note_like_likes,comment_like_likes,evidence_count,representative_url,top_source_kind,top_source_note_type,top_source_likes,top_source_note_id,top_source_title,top_source_link,top_source_comment_id,top_source_comment_user,top_source_text
1,1040g3k031lhf4tft4s705n6rrqu60mdfvtoccqo,2785,2785,0,1,http://sns-webpic-qc.xhscdn.com/202604302251/83ebf823b6222b39b641a41ce2f55887/notes_pre_post/1040g3k031lhf4tft4s705n6rrqu60mdfvtoccqo!nd_dft_wlteh_webp_3,note_single_image,normal,2785,68a9c736000000001d00eaa9,至此，全员毕业，又是一个时代的完结,https://www.xiaohongshu.com/explore/68a9c736000000001d00eaa9?xsec_token=AB51S7j1lOUpKEjDNrW5CE0siaH24W5Do4ABmG0Of3luU=&xsec_source=pc_search,,,"随着今天段艺璇毕业，五选的选拔全部毕业或者退团了，除了kiki还在公司但也是独立艺人了，这张电梯神图也正式毕业了😭
#段艺璇[话题]# #李艺彤[话题]# #黄婷婷[话题]# #陆婷[话题]# #冯薪朵[话题]# #林思意[话题]# #赵粤[话题]# #许佳琪[话题]# #莫寒[话题]# #戴萌[话题]# #张语格[话题]# #谢蕾蕾[话题]# #苏杉杉[话题]# #吴哲晗[话题]# #钱蓓婷[话题]#"
2,1040g3k031s9jdumol6005nooa6ng92tmgf3lveo,1192,1192,0,1,http://sns-webpic-qc.xhscdn.com/202604302302/6dd8ec55a38b712aa0e3a10f114de69d/notes_pre_post/1040g3k031s9jdumol6005nooa6ng92tmgf3lveo!nd_dft_wlteh_webp_3,note_single_image,normal,1192,69871555000000000a02a12e,黄婷婷至今没有称帝,https://www.xiaohongshu.com/explore/69871555000000000a02a12e?xsec_token=ABsI8RTvQ7xjBhTboOg37xPCKDooL-cdR4XcElHmY1zmU=&xsec_source=pc_search,,,"因为她忘不了鞠婧祎那一双忧郁的眼睛
	
谁来写婷婷与祎
考古实在好磕！
	
#黄婷婷x鞠婧祎[话题]##黄婷婷[话题]##鞠婧祎[话题]#"
3,1040g00831pg9grkv2c005p45g0r9em30cmoj44o,794,794,0,1,http://sns-webpic-qc.xhscdn.com/202604301502/323b6f123dd26682c12cf1e061307bb7/1040g00831pg9grkv2c005p45g0r9em30cmoj44o!nd_dft_wlteh_webp_3,note_single_image,normal,794,692b0267000000001e00e006,黄婷婷在团期间全公式照,https://www.xiaohongshu.com/explore/692b0267000000001e00e006?xsec_token=ABdflYI2CkxeI6QC4QvRzwUvY-wpSRKHxGIPNj93VC3uc=&xsec_source=pc_search,,,从稚嫩走向成熟，来时路[亲一个R]#黄婷婷[话题]##kotete[话题]# #snh48黄婷婷[话题]#
4,1040g2h031oq94a0nha0g5q5ovbh6bp2lgu68ov0,775,0,775,1,http://sns-webpic-qc.xhscdn.com/202604301454/5b717a615e7173e80ad3a4189558eb36/comment/1040g2h031oq94a0nha0g5q5ovbh6bp2lgu68ov0!nd_whgt34_webp_wm_1,comment_single_image,normal,775,69146586000000000400597d,,https://www.xiaohongshu.com/explore/69146586000000000400597d?xsec_token=ABPtUueJzlNrMMCs9Mu-4mYZjWD0w8GKsVVcst1aKLx_4=&xsec_source=pc_search,69151c030000000038030a8c,momo,放一张黑长直
5,1040g3k031u4e09hmia005nsap2n0bnn1emsrrrg,759,759,0,1,http://sns-webpic-qc.xhscdn.com/202604301455/302da3950fbe1e934b75c8747e13dc71/notes_pre_post/1040g3k031u4e09hmia005nsap2n0bnn1emsrrrg!nd_dft_wlteh_webp_3,note_single_image,normal,759,699a6e1e000000001a021940,网友真是什么都能考古出来…,https://www.xiaohongshu.com/explore/699a6e1e000000001a021940?xsec_token=ABcU9jHa3jJuEEog1uAI7uw2VXcSfo1u4TabXEUgrcbmQ=&xsec_source=pc_search,,,#黄英[话题]# #黄婷婷[话题]# #卡黄[话题]#
6,1040g4b831v5u24nf2qk049vljk1bb8snugdm228,715,0,715,1,http://sns-webpic-qc.xhscdn.com/202604301508/047daf2d1b7c0f9cace1424003da2300/comment/1040g4b831v5u24nf2qk049vljk1bb8snugdm228!nd_whgt34_webp_wm_1,comment_single_image,normal,715,69e490bc0000000023013a66,王格格直接手动闭麦了🤣🤣,https://www.xiaohongshu.com/explore/69e490bc0000000023013a66?xsec_token=ABfLofzTEpm7X_7AFIRrxTGubaAtU9lzFgChHlbZu_9CY=&xsec_source=pc_search,69e5a055000000001401880e,童童ㄊㄨㄥㄊㄨㄥ,挠头那一下，我直接笑喷了
7,1040g2h031opski07h0005pg84ibipo2v7l3ku20,494,0,494,1,http://sns-webpic-qc.xhscdn.com/202604301454/e7e8a18a5974acae53ab06b663a15e75/comment/1040g2h031opski07h0005pg84ibipo2v7l3ku20!nd_whgt34_webp_wm_1,comment_single_image,normal,494,69146586000000000400597d,,https://www.xiaohongshu.com/explore/69146586000000000400597d?xsec_token=ABPtUueJzlNrMMCs9Mu-4mYZjWD0w8GKsVVcst1aKLx_4=&xsec_source=pc_search,6914af49000000003903164e,嘉禾🌻,这一幕太美了！！！！
8,1040g3k831uhvj3lu1u7040p9bmt0cnkgpugjh9g,420,420,0,1,http://sns-webpic-qc.xhscdn.com/202604302316/fd240b7033d446cf85d97a2d0864b308/notes_pre_post/1040g3k831uhvj3lu1u7040p9bmt0cnkgpugjh9g!nd_dft_wlteh_webp_3,note_single_image,normal,420,69d132da000000001d01fd63,黄婷婷还是太厉害了，争气争气,https://www.xiaohongshu.com/explore/69d132da000000001d01fd63?xsec_token=ABsKdwxplzI3MgkvaLsOPD7E1kdP-lsz3aA7iE3NBZxPo=&xsec_source=pc_search,,,"第一次见还是《被隐匿的真相》王以沫，真的演的很好。就像王青说的，可能她不是最适合王以沫的那个人，但是婷婷演完，已经想象不到别人演王以沫的样子，给婷婷加油👏
#黄婷婷[话题]# #被隐匿的真相[话题]#"
9,1040g2h031mp2ft0b6g6g5nl3qcl094oh5vsf1ko,370,0,370,1,http://sns-webpic-qc.xhscdn.com/202604301454/eaff597b3555b6a034d1e06d92e93e52/comment/1040g2h031mp2ft0b6g6g5nl3qcl094oh5vsf1ko!nd_whlt34_webp_wm_1,comment_single_image,normal,370,68d24f000000000013015a88,回乡这样拍 田间也能出片！,https://www.xiaohongshu.com/explore/68d24f000000000013015a88?xsec_token=ABqpEFKzMTDhLx7A0MbsNXlFKnW2Q76YQLpFRnHKVrKxU=&xsec_source=pc_search,68d24fe3000000000b0257d4,翘课huuu,出片的核心出装[扯脸H][扯脸H]
10,1040g4b831vcp8pi52a905np8qfs09fcrob89leo,367,0,367,1,http://sns-webpic-qc.xhscdn.com/202604302336/3481a859b2ce4da11e413f5ad9fa0033/comment/1040g4b831vcp8pi52a905np8qfs09fcrob89leo!nd_whgt34_webp_wm_1,comment_single_image,normal,367,69ecbf4a000000003701ed6f,这组美图我不允许有人没看到,https://www.xiaohongshu.com/explore/69ecbf4a000000003701ed6f?xsec_token=ABy4-OWrPGTpZ2QWVwT40R8vpbouoyDh9TgXf-y4uXKUs=&xsec_source=pc_search,69ecc319000000002b0014a5,aoiaue_,不要对我使用 美人记   不然我会将计就计(⩌⩊⩌)
