rank,image_id,attributed_likes,note_like_likes,comment_like_likes,evidence_count,representative_url,top_source_kind,top_source_note_type,top_source_likes,top_source_note_id,top_source_title,top_source_link,top_source_comment_id,top_source_comment_user,top_source_text
1,1040g00831pg9grkv2c005p45g0r9em30cmoj44o,794,794,0,1,http://sns-webpic-qc.xhscdn.com/202604301502/323b6f123dd26682c12cf1e061307bb7/1040g00831pg9grkv2c005p45g0r9em30cmoj44o!nd_dft_wlteh_webp_3,note_single_image,normal,794,692b0267000000001e00e006,黄婷婷在团期间全公式照,https://www.xiaohongshu.com/explore/692b0267000000001e00e006?xsec_token=ABdflYI2CkxeI6QC4QvRzwUvY-wpSRKHxGIPNj93VC3uc=&xsec_source=pc_search,,,从稚嫩走向成熟，来时路[亲一个R]#黄婷婷[话题]##kotete[话题]# #snh48黄婷婷[话题]#
2,1040g2h031oq94a0nha0g5q5ovbh6bp2lgu68ov0,775,0,775,1,http://sns-webpic-qc.xhscdn.com/202604301454/5b717a615e7173e80ad3a4189558eb36/comment/1040g2h031oq94a0nha0g5q5ovbh6bp2lgu68ov0!nd_whgt34_webp_wm_1,comment_single_image,normal,775,69146586000000000400597d,,https://www.xiaohongshu.com/explore/69146586000000000400597d?xsec_token=ABPtUueJzlNrMMCs9Mu-4mYZjWD0w8GKsVVcst1aKLx_4=&xsec_source=pc_search,69151c030000000038030a8c,momo,放一张黑长直
3,1040g3k031u4e09hmia005nsap2n0bnn1emsrrrg,759,759,0,1,http://sns-webpic-qc.xhscdn.com/202604301455/302da3950fbe1e934b75c8747e13dc71/notes_pre_post/1040g3k031u4e09hmia005nsap2n0bnn1emsrrrg!nd_dft_wlteh_webp_3,note_single_image,normal,759,699a6e1e000000001a021940,网友真是什么都能考古出来…,https://www.xiaohongshu.com/explore/699a6e1e000000001a021940?xsec_token=ABcU9jHa3jJuEEog1uAI7uw2VXcSfo1u4TabXEUgrcbmQ=&xsec_source=pc_search,,,#黄英[话题]# #黄婷婷[话题]# #卡黄[话题]#
4,1040g4b831v5u24nf2qk049vljk1bb8snugdm228,715,0,715,1,http://sns-webpic-qc.xhscdn.com/202604301508/047daf2d1b7c0f9cace1424003da2300/comment/1040g4b831v5u24nf2qk049vljk1bb8snugdm228!nd_whgt34_webp_wm_1,comment_single_image,normal,715,69e490bc0000000023013a66,王格格直接手动闭麦了🤣🤣,https://www.xiaohongshu.com/explore/69e490bc0000000023013a66?xsec_token=ABfLofzTEpm7X_7AFIRrxTGubaAtU9lzFgChHlbZu_9CY=&xsec_source=pc_search,69e5a055000000001401880e,童童ㄊㄨㄥㄊㄨㄥ,挠头那一下，我直接笑喷了
5,1040g2h031opski07h0005pg84ibipo2v7l3ku20,494,0,494,1,http://sns-webpic-qc.xhscdn.com/202604301454/e7e8a18a5974acae53ab06b663a15e75/comment/1040g2h031opski07h0005pg84ibipo2v7l3ku20!nd_whgt34_webp_wm_1,comment_single_image,normal,494,69146586000000000400597d,,https://www.xiaohongshu.com/explore/69146586000000000400597d?xsec_token=ABPtUueJzlNrMMCs9Mu-4mYZjWD0w8GKsVVcst1aKLx_4=&xsec_source=pc_search,6914af49000000003903164e,嘉禾🌻,这一幕太美了！！！！
6,1040g2h031mp2ft0b6g6g5nl3qcl094oh5vsf1ko,370,0,370,1,http://sns-webpic-qc.xhscdn.com/202604301454/eaff597b3555b6a034d1e06d92e93e52/comment/1040g2h031mp2ft0b6g6g5nl3qcl094oh5vsf1ko!nd_whlt34_webp_wm_1,comment_single_image,normal,370,68d24f000000000013015a88,回乡这样拍 田间也能出片！,https://www.xiaohongshu.com/explore/68d24f000000000013015a88?xsec_token=ABqpEFKzMTDhLx7A0MbsNXlFKnW2Q76YQLpFRnHKVrKxU=&xsec_source=pc_search,68d24fe3000000000b0257d4,翘课huuu,出片的核心出装[扯脸H][扯脸H]
7,1040g2h031q2pppfbng005nbv0rq08c4vnds0dmg,350,0,350,1,http://sns-webpic-qc.xhscdn.com/202604301513/91333bb0ad5f92823ecb54106efb840d/comment/1040g2h031q2pppfbng005nbv0rq08c4vnds0dmg!nd_whlt34_webp_wm_1,comment_single_image,normal,350,693e8b43000000000d03bd30,雪天氛围照就这么拍,https://www.xiaohongshu.com/explore/693e8b43000000000d03bd30?xsec_token=ABH-ZT2EvT7gZez6OYf_5cXUX8ozOf6Yn9Df-bxUT1OwA=&xsec_source=pc_search,693e93f40000000016025832,出逃一个礼拜,多多和这个摄影师玩 拍的太漂亮了
8,1040g4b831ve3706niad05nlj0ql087j55furtho,264,0,264,1,http://sns-webpic-qc.xhscdn.com/202604301455/9c5cdc66a047bc90b98031aaa445c1e1/comment/1040g4b831ve3706niad05nlj0ql087j55furtho!nd_whgt34_webp_wm_1,comment_single_image,normal,264,69edf8c9000000003601b623,去感受每一个瞬间～,https://www.xiaohongshu.com/explore/69edf8c9000000003601b623?xsec_token=ABY_EXAoNVR7WGZmKFgLHqVq21VCQKJGJRNwREO1ZuSQ8=&xsec_source=pc_search,69edfbb000000000290106c1,momo,明晚8点欧诗漫直播间，大家都来支持呀
9,1040g4b831uqrc99piqdg4a7nfsv28crtrdts928,159,0,159,1,http://sns-webpic-qc.xhscdn.com/202604301510/8039b77e142b4684a19be9b5f8a72e4f/comment/1040g4b831uqrc99piqdg4a7nfsv28crtrdts928!nd_whgt34_webp_wm_1,comment_single_image,video,159,69da3fcf00000000220013c3,TT's好物分享,https://www.xiaohongshu.com/explore/69da3fcf00000000220013c3?xsec_token=AB0HHaWMmTNJmRFVs-iy8DVMOca7QFtjnPFmZDt68wGPI=&xsec_source=pc_search,69da46c40000000014009f9d,犹不已,[扯脸H]咋这么可爱捏！！！
10,1040g2h031st8e6395k6044ssd187lkv30ad1avg,146,0,146,1,http://sns-webpic-qc.xhscdn.com/202604301455/652bb8e9b53ea28acf1ec6a6be719355/comment/1040g2h031st8e6395k6044ssd187lkv30ad1avg!nd_whlt34_webp_wm_1,comment_single_image,normal,146,699a6e1e000000001a021940,网友真是什么都能考古出来…,https://www.xiaohongshu.com/explore/699a6e1e000000001a021940?xsec_token=ABcU9jHa3jJuEEog1uAI7uw2VXcSfo1u4TabXEUgrcbmQ=&xsec_source=pc_search,699b34d2000000000f02e45a,k2316,她俩只要还在这个圈里，就不可能彻底避开对方（比如浪姐里的小婉也认识婷婷[doge]）
