up主名字,主要知识领域,总权重,提及次数,回答提及数,评论提及数,正向/推荐,负向/避雷,中性/提及,代表点评,来源URL样例
李永乐老师,数学/物理,1868299,95,61,34,31,0,64,03：李永乐老师官方,https://www.zhihu.com/question/291506148/answer/864438586
3Blue1Brown,数学/物理,1272213,56,37,19,10,2,44,07：3Blue1Brown,https://www.zhihu.com/question/291506148/answer/864438586
Oeasy,计算机/编程,1232725,64,39,25,21,2,41,03：Oeasy,https://www.zhihu.com/question/291506148/answer/864438586
左手PLUS,艺术/审美,1006659,26,26,0,14,0,12,07：左手PLUS,https://www.zhihu.com/question/291506148/answer/864438586
回形针PaperClip,科普/自然科学,880748,53,25,28,11,3,39,07：回形针PaperClip,https://www.zhihu.com/question/291506148/answer/864438586
葉子先生酱,语言/英语,735264,20,19,1,5,0,15,04：葉（叶）子先生酱,https://www.zhihu.com/question/291506148/answer/864438586
混乱博物馆,科普/自然科学,678166,24,17,7,8,2,14,04：混乱博物馆,https://www.zhihu.com/question/291506148/answer/864438586
罗翔说刑法,法律,674453,82,56,26,22,4,56,1. 罗翔说刑法 —— 2020年B站最火的知识达人？,https://www.zhihu.com/question/292372507/answer/802318758
妈咪说MommyTalk,生物/医学健康,665520,50,24,26,20,3,27,08：妈咪说MommyTalk,https://www.zhihu.com/question/291506148/answer/864438586
硬核的半佛仙人,综合知识/泛科普,635013,55,25,30,29,4,22,2. 硬核的半佛仙人 —— 火遍全网的硬核男人,https://www.zhihu.com/question/292372507/answer/802318758
宋浩老师官方,数学/物理,610752,66,24,42,27,0,39,380630 《微积分II》（《高等数学II》）全程高清教学视频-宋浩老师【新浪微博：ice_mouse】,https://www.zhihu.com/question/35569842/answer/1012175647
何同学,科普/自然科学,518227,45,22,23,20,1,24,3）老师好我叫何同学,https://www.zhihu.com/question/291506148/answer/864438586
美丽科学-BOS,科普/自然科学,502240,8,8,0,2,0,6,08：美丽科学-BOS,https://www.zhihu.com/question/291506148/answer/864438586
毕导THU,数学/物理,420882,28,14,14,7,1,20,3. 毕导THU —— 我差点吧它当成搞笑UP主……,https://www.zhihu.com/question/292372507/answer/802318758
巫师财经,财经/商业,368214,127,32,95,43,12,72,9.巫师财经,https://www.zhihu.com/question/265883810/answer/976227155
蜡笔和小勋,综合知识/泛科普,361261,12,12,0,3,0,9,01：蜡笔和小勋 这是一对羡煞旁人的浙大学霸情侣Up主！在B站坐拥150W+粉丝！你可以在他们的视频中学到各种实用的学习方法。比如如何自律？如何提升记忆力？如何背单词？…… 代表作： 《在家自律性都能暴涨200%的小技巧分享》,https://www.zhihu.com/question/291506148/answer/864438586
纪录片之家字幕组,综合知识/泛科普,353533,9,8,1,6,0,3,04：纪录片之家字幕组 这位B站Up主上传的资源简直太感人了！不仅数量多，而且视频质量极高，字幕做得超级棒，双语对照，看着就是爽！ 演讲精选 01：一席精选,https://www.zhihu.com/question/291506148/answer/864438586
央视纪录,综合知识/泛科普,273716,6,6,0,1,0,5,03：央视纪录 CCTV 9 纪录频道官方账号，品质必须有保证。比较经典的纪录片有《如果国宝会说话》（豆瓣评分：9.4）、《航拍中国》（豆瓣评分：9.2）。 尤其是《航拍中国》，官方当初在拍摄的时候可是下了血本！拍摄时动用了16架载人直升机、57架无人机，总行程近15万多公里，以另一种视角看祖国壮丽的山河。平常再普通不过的景物，一旦到了高空，完全变成了另一番景象！,https://www.zhihu.com/question/291506148/answer/864438586
猛犸君侯,综合知识/泛科普,267296,5,5,0,0,0,5,"02：猛犸君侯 一位提供国外最新纪录片资源的Up主。目前的投稿数量高达5,200+，而且画质感人，几乎全部为高清视频，大多数视频都配有中文或英文字幕。 03：央视纪录",https://www.zhihu.com/question/291506148/answer/864438586
A路人,综合知识/泛科普,264613,6,6,0,4,0,2,01：A路人 一位超级逗比的英语Up主，粉丝亲切地称呼他为老大。在B站坐拥210W+粉丝，出品的《洋屁教室》系列视频别提有多火了，用鬼畜的方式帮大家解决了很多典型烦人的英语语法问题。 代表作： 《洋屁教室----让英语做你的舔狗》,https://www.zhihu.com/question/291506148/answer/864438586
人生一串,综合知识/泛科普,258862,9,8,1,1,0,8,2、人生一串 中国第一部烧烤纪录片。展示全国各地独具特色的烧烤文化，第二季也已经完结了。 “美食为主，故事调味”是美食纪录片一贯的手法，但《人生一串》保留了市井气和烟火味，不刻意追求画面的精致，用调侃式的旁白，让《人生一串》增添了一丝幽默感。B站评分9.8也是名副其实！,https://www.zhihu.com/question/35569842/answer/782949366
老秦PPT,综合知识/泛科普,253743,4,4,0,0,0,4,01： 老秦PPT 说到软件教学，那就不得不提一下老秦本人啦~ 秦老师刚入驻B站，发布的第一条PPT的教学视频就瞬间斩获6万+，足以看到其火热程度。 与很多的PPT UP主不同，秦老师的PPT教学视频，总是脑洞大开，不是单纯教技巧，而是大开你的思维方式。从评论区的评价就能看出来：,https://www.zhihu.com/question/291506148/answer/864438586
口语老炮儿马思瑞,语言/英语,248609,6,6,0,1,0,5,02：口语老炮儿马思瑞 不愧自称老炮儿，这位来自美国的Up主说的中文实在是太棒了！他的英语口语教学视频也是另辟蹊径，出品了一系列明星口语分析视频，从发音、用词、语法角度切入。目前被拆解的国内明星和企业家有：刘亦菲、成龙、吴亦凡、马云等。相比于枯燥的教学，这种寓教于乐的教学方式更容易被人接受。,https://www.zhihu.com/question/291506148/answer/864438586
旁门左道PPT,综合知识/泛科普,240188,10,10,0,8,0,2,2、旁门左道PPT 一个PPT学习的宝藏UP主！视频完全免费，只能用良心称赞！ 实名安利三分钟系列的PPT视频，很实用！一页丑的PPT，用轻松有趣的方式，3分钟内，一步步拆解，实现修改蜕变！ 关键还配备了对应的PPT文件，照着练习，提升很快！,https://www.zhihu.com/question/35569842/answer/782949366
一条正弦,学习/考试,232418,5,5,0,1,0,4,02：一条正弦 一位非常自律的学习Up主，在B站分享了很多学习方面的心得。 代表作： #如何记笔记#系列，内容涉及到地理、物理、历史、语文等，Up主都毫无保留、超级细致地进行了讲解。,https://www.zhihu.com/question/291506148/answer/864438586
猴博士爱讲课,数学/物理,231602,5,5,0,1,0,4,06：猴博士爱讲课 一位既会微积分、大学物理、力学、电工，又会C语言的学霸Up主。要想考试不挂科，你需要猴博士这样短平快的课程。短短几小时，手把手带你过一遍课程。考试的时候至少点东西可以写（编）了……,https://www.zhihu.com/question/291506148/answer/864438586
坤哥物理,学习/考试,226897,4,4,0,4,0,0,04：坤哥物理 高中物理渣到爆，该如何自救？来，B站坤哥助你一臂之力。这是一位专讲高考物理知识的Up主，因为讲解通俗易懂，深受小粉丝们的爱戴~ 05：大宽物理,https://www.zhihu.com/question/291506148/answer/864438586
