year,school_year,area,primary_admissions,junior_high_admissions,senior_high_admissions,unit,definition,source_agency,source_index_url,primary_source_url,middle_source_url,primary_locator,junior_locator,senior_locator,confidence
2014,2014-2015,北京市,153249,102693,55184,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709333.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109615970062769.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020220322401495631272.xls,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2014,2014-2015,西城区,12488,8684,7022,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709333.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109615970062769.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020220322401495631272.xls,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2014,2014-2015,朝阳区,25745,13898,4362,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709333.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109615970062769.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020220322401495631272.xls,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2015,2015-2016,北京市,145876,89152,56743,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202101/t20210115_2709331.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202101/P020191225501238533126.xlsx,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202101/P020191225501238447486.xlsx,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2015,2015-2016,西城区,13074,7857,7068,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202101/t20210115_2709331.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202101/P020191225501238533126.xlsx,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202101/P020191225501238447486.xlsx,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2015,2015-2016,朝阳区,21176,12153,4665,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202101/t20210115_2709331.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202101/P020191225501238533126.xlsx,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202101/P020191225501238447486.xlsx,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2016,2016-2017,北京市,145274,91854,53544,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709336.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109394852705892.xlsx,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109394852568832.xlsx,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2016,2016-2017,西城区,13455,8325,6603,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709336.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109394852705892.xlsx,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109394852568832.xlsx,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2016,2016-2017,朝阳区,22093,12910,4537,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709336.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109394852705892.xlsx,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109394852568832.xlsx,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2017,2017-2018,北京市,157559,103263,53755,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709335.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109402453540600.xlsx,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109402453449184.xlsx,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
