rank,memory_point,combined_heat,post_like_total,comment_like_sample_total,post_count,representative_post_title,representative_post_user,top_comment_likes,top_comment_content
1,云熠小世界/官方物料,530764,511783,18981,73,无奖竞猜star会和谁跑,云熠小世界,7047,云旗普普下次拍这个好不好！好想看！
2,一周年/相见/想念,165882,165855,27,115,和//光，你真的很好，才不是ctbz！！,熠然云深处,4,重新发，配个BGM，全都是泡沫，再惹哭一帮人[偷笑R]
3,红发/红秀/新造型,162989,162414,575,102,红气养人,杂VISION,252,但其实是三个月前拍的，剧还没播
4,演唱会/彼岸/澳门香港曼谷场,92918,91920,998,482,接到云熠啦,木木 🌻,424,南瓦三公子携爱人回国[偷笑R]
5,吾岸/角色与剧集记忆,63425,56999,6426,36,西湖边逛一逛嘿嘿,云旗Yunqi,1287,拍这个 和你老婆拍这个[害羞R][害羞R][害羞R][害羞R]
6,星河姐/小星河的爱拿得出手,40129,39179,950,165,旗熠青的由来，不知道的星河宝子看过来😅,好运⭐星瓶,453,还记得当初他俩窝窝囊囊的就把主做了[捂脸R]
7,不拆/不拆2.0,37812,32605,5207,52,嘉辉逼宫普强要名分 表明立塲免惹麻煩,Waswa_,2365,他其实一直在压情绪的，他就是在要名分，一直盯着看，他严肃的时候超级凶，如果普普给的答案他不满意，他肯定要爆，这么多人面前要名分，魔丸就是魔丸，又猛又勇
8,双人直播,33820,32362,1458,94,聊着聊着就把人搂怀里了,Coffeey33_,619,播着播着上床了
9,亲密互动泛记忆,26289,23739,2550,9,云旗啊！！！你也太会了！！！,月野遥（见过云熠版）,802,这个高家辉不会真的是母单吧，第一次拍戏，还那么多吻戏，真的给他拍得发了狠忘了情没了命。
10,捏脸,15678,13559,2119,46,这两个人互相捏脸给人的感觉好不一样。。,Celebrity Style 明星风尚,825,郝熠然的表情很像拍婚纱照时新娘的表情包，(抱歉，我没有女化他的意思)就是那种傲娇的表情，懂吗？[害羞R]
11,旗熠青/青色灯牌,11483,10533,950,127,旗熠青的由来，不知道的星河宝子看过来😅,好运⭐星瓶,453,还记得当初他俩窝窝囊囊的就把主做了[捂脸R]
12,对视,9800,9530,270,41,对视30秒纯享版！！！！！甜！,momo,97,其实是年长者看出来年下者眼里抑制不住的欲望怕他再看下去就亲上来了所以才假装自己没憋住笑然后移开视线[色色R][萌萌哒R]我不管，你俩不解释就是默认（就是这样造yao）[笑哭R]
13,命中注定/缘分叙事,9753,9193,560,41,你我本无缘，全凭郝熠然！,酒店人老王,258,我刷到了有去的，说要帮云旗看住普普怕被偷走了[失望R]
14,手机壳/亲签/周边,5595,5434,161,74,这才是双商该有的样子！星河姐也太幸福了！,周边狗仔队(资讯版）,39,我们从始至终wq是希望hg挂ss和公平公正，而不是去向正主wq，停氪是对正主伤害最大的而不是hg，部分人的wq已经出现了偏差[哭惹R]
15,单曲循环,1980,1953,27,20,我们不拆，好好听,🍧莫奈的花园,8,真棒👏🏻
